Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	C_1 Spectral Count	C_2 Spectral Count	C_3 Spectral Count	E_1 Spectral Count	E_2 Spectral Count	E_3 Spectral Count	Hp_1 Spectral Count	Hp_2 Spectral Count	Hp_3 Spectral Count	Mx_1 Spectral Count	Mx_2 Spectral Count	Mx_3 Spectral Count	T_1 Spectral Count	T_2 Spectral Count	T_3 Spectral Count	C_1 Unique Spectral Count	C_2 Unique Spectral Count	C_3 Unique Spectral Count	E_1 Unique Spectral Count	E_2 Unique Spectral Count	E_3 Unique Spectral Count	Hp_1 Unique Spectral Count	Hp_2 Unique Spectral Count	Hp_3 Unique Spectral Count	Mx_1 Unique Spectral Count	Mx_2 Unique Spectral Count	Mx_3 Unique Spectral Count	T_1 Unique Spectral Count	T_2 Unique Spectral Count	T_3 Unique Spectral Count	C_1 Total Spectral Count	C_2 Total Spectral Count	C_3 Total Spectral Count	E_1 Total Spectral Count	E_2 Total Spectral Count	E_3 Total Spectral Count	Hp_1 Total Spectral Count	Hp_2 Total Spectral Count	Hp_3 Total Spectral Count	Mx_1 Total Spectral Count	Mx_2 Total Spectral Count	Mx_3 Total Spectral Count	T_1 Total Spectral Count	T_2 Total Spectral Count	T_3 Total Spectral Count	C_1 Intensity	C_2 Intensity	C_3 Intensity	E_1 Intensity	E_2 Intensity	E_3 Intensity	Hp_1 Intensity	Hp_2 Intensity	Hp_3 Intensity	Mx_1 Intensity	Mx_2 Intensity	Mx_3 Intensity	T_1 Intensity	T_2 Intensity	T_3 Intensity	C_1 MaxLFQ Intensity	C_2 MaxLFQ Intensity	C_3 MaxLFQ Intensity	E_1 MaxLFQ Intensity	E_2 MaxLFQ Intensity	E_3 MaxLFQ Intensity	Hp_1 MaxLFQ Intensity	Hp_2 MaxLFQ Intensity	Hp_3 MaxLFQ Intensity	Mx_1 MaxLFQ Intensity	Mx_2 MaxLFQ Intensity	Mx_3 MaxLFQ Intensity	T_1 MaxLFQ Intensity	T_2 MaxLFQ Intensity	T_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q6BEA0|PLXA4_DANRE	Q6BEA0	PLXA4_DANRE	plxna4	1903	Danio rerio	2:Experimental evidence at transcript level	Plexin-A4	0.9766	0.9931	2	2	2	6	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0.0	7280894.5	0.0	2886942.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2845908.0	0.0	1.1311287E7	0.0	7280894.5	0.0	2886942.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2845908.0	0.0	1.1311287E7	
sp|Q6DBW9|C99L2_DANRE	Q6DBW9	C99L2_DANRE	cd99l2	252	Danio rerio	2:Experimental evidence at transcript level	CD99 antigen-like protein 2	1.0	0.999	4	32	32	32	1	2	3	3	2	1	1	2	3	2	2	3	2	3	2	1	2	3	3	2	1	1	2	3	2	2	3	2	3	2	1	2	3	3	2	1	1	2	3	2	2	3	2	3	2	9064046.0	4.138532E7	1.872406E7	9856335.0	1.9651044E7	7059291.0	4604045.0	2.537798E7	1.16656E7	1.9645792E7	1.9827198E7	1.5220426E7	8826668.0	1.3820126E7	3.7563148E7	9464235.0	2.0231592E7	7044776.5	3899452.2	1.0711853E7	7370967.5	5447166.5	1.3856889E7	6330276.0	2.0513178E7	1.0963204E7	8417315.0	4782963.5	7640649.5	2.0887054E7	
sp|Q6DC93|PEF1_DANRE	Q6DC93	PEF1_DANRE	pef1	270	Danio rerio	2:Experimental evidence at transcript level	Peflin	0.5249	0.9858	1	4	4	4	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6DEH3|KC2D1_DANRE	Q6DEH3	KC2D1_DANRE	camk2d1	491	Danio rerio	2:Experimental evidence at transcript level	Calcium/calmodulin-dependent protein kinase type II delta 1 chain	1.0	0.999	8	24	24	40	1	0	5	2	1	2	3	0	0	3	0	2	3	0	2	1	0	5	2	1	2	3	0	0	3	0	2	3	0	2	4	0	6	5	2	3	5	1	1	3	1	2	4	0	3	1.8039322E7	9420285.0	2.4992658E7	2.5191332E7	2211343.8	9566096.0	3.6058204E7	0.0	0.0	9044684.0	0.0	1.814676E7	3.2305124E7	0.0	1.6165679E7	1.8282728E7	9547393.0	1.2582296E7	1.0348584E7	1.0941917E7	8270309.5	1.5478834E7	0.0	0.0	9166724.0	0.0	9219534.0	1.3577313E7	0.0	1.6383803E7	
sp|Q6DEI8|MIA40_DANRE	Q6DEI8	MIA40_DANRE	chchd4	146	Danio rerio	2:Experimental evidence at transcript level	Mitochondrial intermembrane space import and assembly protein 40	1.0	0.9967	3	16	16	16	2	1	1	2	2	1	2	0	1	1	0	0	2	0	1	2	1	1	2	2	1	2	0	1	1	0	0	2	0	1	2	1	1	2	2	1	2	0	1	1	0	0	2	0	1	3.1797762E7	3.2167438E7	2.93479E7	3.2828396E7	1.4079883E7	2.1266576E7	1.9917282E7	0.0	1.8689732E7	1.7350188E7	0.0	1.7973292E7	3.2822246E7	0.0	2.8432144E7	1.6375938E7	1.6474183E7	1.8451E7	1.6783512E7	1.579599E7	2.05347E7	1.4184601E7	0.0	1.8046536E7	1.6753092E7	0.0	1.7354752E7	1.6863014E7	0.0	1.7860808E7	
sp|Q6DEM5|TIM8A_DANRE	Q6DEM5	TIM8A_DANRE	timm8a	90	Danio rerio	3:Protein inferred from homology	Mitochondrial import inner membrane translocase subunit Tim8 A	1.0	0.999	4	32	32	32	2	3	2	3	3	2	2	2	2	2	2	3	2	1	1	2	3	2	3	3	2	2	2	2	2	2	3	2	1	1	2	3	2	3	3	2	2	2	2	2	2	3	2	1	1	2.1568548E7	7.6631688E7	5.9022824E7	3.9537088E7	7.5994104E7	3.9177376E7	2.7203526E7	6.1500464E7	3.7652664E7	1.6886572E7	4.516648E7	4.6297232E7	2.6010328E7	4.7257604E7	4.2796112E7	1.816065E7	4.2240912E7	3.03386E7	1.8594604E7	4.4926956E7	2.8609318E7	1.6520688E7	4.8748292E7	2.9138522E7	1.6927356E7	3.6812312E7	2.302884E7	1.7961268E7	3.94222E7	2.42081E7	
sp|Q6DG22|ADA_DANRE	Q6DG22	ADA_DANRE	ada	359	Danio rerio	2:Experimental evidence at transcript level	Adenosine deaminase	0.9996	0.9863	3	8	8	8	0	0	0	0	0	0	2	0	1	1	1	1	2	0	0	0	0	0	0	0	0	2	0	1	1	1	1	2	0	0	0	0	0	0	0	0	2	0	1	1	1	1	2	0	0	0.0	3.9680864E7	3.2087402E7	3.3001046E7	4.2708456E7	0.0	3.059677E7	0.0	3.4929568E7	2834275.0	3.3619052E7	2.950879E7	2.9323778E7	0.0	3.1934406E7	0.0	3.7901412E7	3.0648474E7	3.1521146E7	3.8919108E7	0.0	2.8800946E7	0.0	3.3363184E7	1.84442624E8	3.2111438E7	2.8185496E7	2.7691004E7	0.0	3.0502338E7	
sp|Q6DG81|PLST_DANRE	Q6DG81	PLST_DANRE	pls3	627	Danio rerio	2:Experimental evidence at transcript level	Plastin-3	1.0	0.999	15	114	104	114	12	8	9	8	10	5	7	6	4	4	8	10	7	7	9	11	7	8	7	9	5	6	5	4	4	7	9	7	6	9	12	8	9	8	10	5	7	6	4	4	8	10	7	7	9	3.57644608E8	2.54179328E8	3.78115424E8	3.6238896E8	2.60893392E8	2.2272928E8	3.29950368E8	2.0243448E8	2.74805856E8	1.5005576E8	2.45477984E8	3.543624E8	3.63164224E8	2.30880192E8	4.05038592E8	1.22052464E8	9.9038048E7	1.30785104E8	1.19104688E8	1.08994392E8	1.31044832E8	1.04143104E8	9.6385584E7	1.319476E8	8.8441184E7	1.0251024E8	1.21979064E8	1.36024448E8	9.8214336E7	1.36951232E8	
sp|Q6DG85|URIC_DANRE	Q6DG85	URIC_DANRE	uox	298	Danio rerio	1:Experimental evidence at protein level	Uricase	1.0	0.999	5	12	12	12	2	0	0	3	0	0	3	0	0	2	0	0	2	0	0	2	0	0	3	0	0	3	0	0	2	0	0	2	0	0	2	0	0	3	0	0	3	0	0	2	0	0	2	0	0	1.1950275E7	0.0	0.0	2.0268296E7	0.0	0.0	3.001051E7	0.0	0.0	1.219346E7	0.0	0.0	2.5053126E7	0.0	0.0	1.4384645E7	0.0	0.0	7952628.0	0.0	0.0	9961056.0	0.0	0.0	2.5233842E7	0.0	0.0	9340650.0	0.0	0.0	
sp|Q6DGE9|UN45B_DANRE	Q6DGE9	UN45B_DANRE	unc45b	934	Danio rerio	1:Experimental evidence at protein level	Protein unc-45 homolog B	1.0	0.999	19	100	100	100	4	10	4	6	11	4	3	12	4	5	10	6	2	11	8	4	10	4	6	11	4	3	12	4	5	10	6	2	11	8	4	10	4	6	11	4	3	12	4	5	10	6	2	11	8	2.9944686E7	8.3519056E7	9.9721496E7	9.804E7	6.8190784E7	3.5359188E7	7.3511848E7	4.9840824E7	4.5516512E7	3.6129048E7	4.5688628E7	9.4912944E7	2.378767E7	7.8864112E7	1.40660704E8	1.7649854E7	2.21831E7	2.568648E7	2.0728682E7	2.3195186E7	2.4478148E7	1.9559928E7	2.1869608E7	2.4791398E7	2.2840912E7	1.9156776E7	2.0407524E7	1.970895E7	2.0199578E7	3.2673556E7	
sp|Q6DGI3|NOP16_DANRE	Q6DGI3	NOP16_DANRE	nop16	171	Danio rerio	2:Experimental evidence at transcript level	Nucleolar protein 16	0.9337	0.9989	1	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	6561423.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5119146.0	0.0	0.0	6561423.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5119146.0	0.0	
sp|Q6DGJ1|GRIFN_DANRE	Q6DGJ1	GRIFN_DANRE	grifin	139	Danio rerio	1:Experimental evidence at protein level	Grifin	1.0	0.999	5	45	45	45	3	1	4	4	3	2	3	2	3	2	3	4	4	2	5	3	1	4	4	3	2	3	2	3	2	3	4	4	2	5	3	1	4	4	3	2	3	2	3	2	3	4	4	2	5	9.6364768E7	2.6747096E7	1.28230096E8	1.0270356E8	3.9939232E7	8.1178824E7	9.1084016E7	2.4683486E7	5.6188768E7	4.2294708E7	3.6355248E7	1.14895488E8	9.9831152E7	5.736984E7	1.27132504E8	3.585668E7	2.2691032E7	4.8426156E7	3.7196476E7	1.5345754E7	4.2808056E7	3.4598844E7	2.152746E7	4.2578648E7	3.2590708E7	1.74642E7	4.2942356E7	3.5377384E7	2.368464E7	4.5881872E7	
sp|Q6DGJ3|TIM13_DANRE	Q6DGJ3	TIM13_DANRE	timm13	95	Danio rerio	3:Protein inferred from homology	Mitochondrial import inner membrane translocase subunit Tim13	1.0	0.999	5	68	68	68	4	3	5	3	4	4	5	6	5	5	5	5	4	5	5	4	3	5	3	4	4	5	6	5	5	5	5	4	5	5	4	3	5	3	4	4	5	6	5	5	5	5	4	5	5	1.84458272E8	2.12735776E8	2.70100512E8	1.91165488E8	2.22484064E8	1.8907224E8	1.49992608E8	2.12430688E8	1.6778608E8	2.38708432E8	1.53915264E8	2.23412352E8	1.74854704E8	1.55570848E8	2.07100624E8	8.6782664E7	8.5090872E7	1.10989568E8	7.3220584E7	1.0787112E8	9.7702008E7	6.7536688E7	7.8700312E7	8.395864E7	1.07362816E8	8.2408744E7	9.4186352E7	7.0348E7	7.6527768E7	7.6579992E7	
sp|Q6DGS3|KC2D2_DANRE	Q6DGS3	KC2D2_DANRE	camk2d2	554	Danio rerio	2:Experimental evidence at transcript level	Calcium/calmodulin-dependent protein kinase type II delta 2 chain	1.0	0.999	11	94	78	94	6	4	6	10	6	6	8	5	7	5	5	7	8	4	7	3	4	5	7	5	5	6	4	6	5	4	7	7	4	6	6	4	6	10	6	6	8	5	7	5	5	7	8	4	7	1.76007984E8	9.8766136E7	1.84631232E8	2.67112032E8	1.22170816E8	1.32353536E8	1.43517968E8	7.7999728E7	8.961428E7	3.87177824E8	7.6299928E7	1.613748E8	2.1632552E8	6.9081576E7	3.09668192E8	8.4126792E7	4.4065712E7	5.7197712E7	8.3604488E7	4.7467448E7	5.7814868E7	7.1451816E7	3.3322866E7	5.3693468E7	1.23893248E8	3.9475056E7	4.6471128E7	8.9367328E7	5.639204E7	6.2430828E7	
sp|Q6DGY7|CRGNB_DANRE	Q6DGY7	CRGNB_DANRE	crygnb	183	Danio rerio	2:Experimental evidence at transcript level	Gamma-crystallin N-B	1.0	0.999	10	169	169	169	18	9	11	17	8	10	15	8	9	13	7	11	18	5	10	18	9	11	17	8	10	15	8	9	13	7	11	18	5	10	18	9	11	17	8	10	15	8	9	13	7	11	18	5	10	2.44547277E9	3.70628352E8	1.24129075E9	2.5847639E9	4.54034816E8	1.0590153E9	2.03793024E9	3.8766992E8	9.3101018E8	1.68543526E9	3.58101472E8	1.0758743E9	2.63848474E9	4.31393376E8	1.06392774E9	6.538656E8	1.11611728E8	3.06954272E8	6.6636992E8	1.39257824E8	2.86827488E8	5.06660352E8	1.21173752E8	2.59226064E8	4.31442656E8	1.26737696E8	2.7721472E8	6.7650253E8	1.27447328E8	2.7011472E8	
sp|Q6DH23|V26BL_DANRE	Q6DH23	V26BL_DANRE	vps26bl	329	Danio rerio	2:Experimental evidence at transcript level	Vacuolar protein sorting-associated protein 26B-like	0.9921	0.998	2	3	0	3	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3.5845052E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q7ZV03|VP26B_DANRE
sp|Q6DH42|ENY2_DANRE	Q6DH42	ENY2_DANRE	eny2	95	Danio rerio	3:Protein inferred from homology	Transcription and mRNA export factor ENY2	1.0	0.999	1	22	22	22	2	1	2	2	1	2	1	1	2	1	1	2	2	1	1	2	1	2	2	1	2	1	1	2	1	1	2	2	1	1	2	1	2	2	1	2	1	1	2	1	1	2	2	1	1	1.1947695E7	7093289.5	3995807.5	4452349.5	3346014.5	5197301.0	2341996.8	2758177.8	4619826.5	1.2805076E7	2909106.8	5520284.0	4776978.0	2383839.0	1.558041E7	5888399.0	7863600.5	2051878.4	2453054.8	3480418.8	2826270.0	2436071.0	2868969.5	2429666.5	1.3319436E7	3025961.0	3022605.8	2600900.0	2479594.0	8591566.0	
sp|Q6DH65|DENR_DANRE	Q6DH65	DENR_DANRE	denr	208	Danio rerio	1:Experimental evidence at protein level	Density-regulated protein	1.0	0.999	4	30	30	30	1	4	2	1	5	1	2	2	2	1	2	1	2	3	1	1	4	2	1	5	1	2	2	2	1	2	1	2	3	1	1	4	2	1	5	1	2	2	2	1	2	1	2	3	1	7519587.0	2.2905182E7	2.9805916E7	4185583.5	3.7821036E7	4013684.5	1.4490873E7	2.1749656E7	1.4095314E7	3775802.0	8901880.0	4705534.0	8266421.0	1.8705738E7	0.0	7102571.5	8269314.0	9354028.0	5356488.0	9817879.0	5136500.5	6347560.0	1.1144787E7	6561568.5	4832071.0	5901443.5	6021893.0	5471644.5	1.3058635E7	0.0	
sp|Q6DH66|TM20B_DANRE	Q6DH66	TM20B_DANRE	tomm20b	146	Danio rerio	1:Experimental evidence at protein level	Mitochondrial import receptor subunit TOM20 homolog B	0.9433	0.9709	2	7	7	7	0	1	1	0	1	0	0	0	0	1	1	0	1	0	1	0	1	1	0	1	0	0	0	0	1	1	0	1	0	1	0	1	1	0	1	0	0	0	0	1	1	0	1	0	1	0.0	0.0	6.8158704E7	5.4914168E7	4.4148424E7	0.0	0.0	0.0	0.0	4.1800772E7	3.4779984E7	0.0	6.78864E7	0.0	5.7207484E7	0.0	0.0	6.8158704E7	5.4914168E7	4.4148424E7	0.0	0.0	0.0	0.0	4.1800772E7	3.4779984E7	0.0	6.78864E7	0.0	5.5564916E7	
sp|Q6DHC1|RB18B_DANRE	Q6DHC1	RB18B_DANRE	rab18b	205	Danio rerio	2:Experimental evidence at transcript level	Ras-related protein Rab-18-B	1.0	0.9988	3	13	13	13	0	0	2	1	0	2	0	0	1	2	0	2	1	1	1	0	0	2	1	0	2	0	0	1	2	0	2	1	1	1	0	0	2	1	0	2	0	0	1	2	0	2	1	1	1	0.0	0.0	1.2359368E7	8927270.0	0.0	3114200.8	0.0	0.0	0.0	1.1237902E7	0.0	1788299.6	1.1946671E7	7936968.0	2801381.8	0.0	0.0	6060999.0	4849231.0	0.0	7949887.5	0.0	0.0	0.0	7292101.0	0.0	4565146.0	7752010.5	5150176.0	7151327.5	
sp|Q6DHE8|RHOAD_DANRE	Q6DHE8	RHOAD_DANRE	rhoad	193	Danio rerio	1:Experimental evidence at protein level	Rho-related GTP-binding protein RhoA-D	0.9983	0.999	6	1	1	48	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	3	5	3	3	4	3	1	4	1	4	6	2	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	676952.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6DHH7|LZIC_DANRE	Q6DHH7	LZIC_DANRE	lzic	190	Danio rerio	1:Experimental evidence at protein level	Protein LZIC	0.9993	0.999	2	5	5	5	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0.0	0.0	0.0	5072204.0	3367751.2	0.0	5839354.0	0.0	0.0	3513279.5	0.0	4018112.0	0.0	0.0	0.0	0.0	0.0	0.0	5072204.0	0.0	0.0	5839354.0	0.0	0.0	3513279.5	0.0	4018112.0	0.0	0.0	0.0	
sp|Q6DI05|SUMO3_DANRE	Q6DI05	SUMO3_DANRE	sumo3	94	Danio rerio	3:Protein inferred from homology	Small ubiquitin-related modifier 3	0.9998	0.999	2	22	0	22	2	2	1	1	2	1	1	2	1	1	2	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	1	2	1	1	2	1	1	2	1	2	2	1	9.7541576E7	1.54602288E8	6.0187044E7	9.1470568E7	1.44832992E8	5.222342E7	9.4598632E7	1.67573664E8	5.4954604E7	9.0009144E7	1.46498368E8	4.8945748E7	8.4820032E7	1.71968208E8	4.8761844E7	8.3770072E7	1.37556432E8	6.0187044E7	9.1470568E7	1.40634448E8	5.222342E7	9.4598632E7	1.49131008E8	5.4954604E7	9.0009144E7	1.3708352E8	4.8945748E7	7.531156E7	1.49439296E8	4.5495524E7	sp|Q6NV25|SMO3L_DANRE
sp|Q6DI06|TIM10_DANRE	Q6DI06	TIM10_DANRE	timm10	88	Danio rerio	3:Protein inferred from homology	Mitochondrial import inner membrane translocase subunit Tim10	0.9974	0.999	2	21	21	21	1	2	1	1	2	2	2	1	1	1	2	2	0	2	1	1	2	1	1	2	2	2	1	1	1	2	2	0	2	1	1	2	1	1	2	2	2	1	1	1	2	2	0	2	1	3.4306684E7	5.9266916E7	7426899.0	3.8774936E7	6.9945568E7	5.794444E7	3.7426208E7	1.3517355E7	5.448234E7	3.29768E7	7.0312832E7	7.0304704E7	0.0	8.6648168E7	4.6972556E7	2.8862936E7	4.6155596E7	3.5941688E7	3.262217E7	5.4229848E7	4.073862E7	2.1099282E7	6.54158E7	4.583714E7	2.7744076E7	5.3120004E7	4.8023484E7	0.0	6.4078672E7	3.9519E7	
sp|Q6DI37|UBCP1_DANRE	Q6DI37	UBCP1_DANRE	ublcp1	318	Danio rerio	2:Experimental evidence at transcript level	Ubiquitin-like domain-containing CTD phosphatase 1	0.9999	0.9926	2	2	2	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	3.82026784E8	0.0	0.0	0.0	0.0	0.0	2299712.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6DRC0|SYSC_DANRE	Q6DRC0	SYSC_DANRE	sars1	515	Danio rerio	1:Experimental evidence at protein level	Serine--tRNA ligase, cytoplasmic	1.0	0.9989	10	39	39	39	3	2	1	4	2	3	2	3	2	5	1	2	4	2	3	3	2	1	4	2	3	2	3	2	5	1	2	4	2	3	3	2	1	4	2	3	2	3	2	5	1	2	4	2	3	2.9822738E7	3.8263748E7	1.2118E7	3.2250544E7	2.0466828E7	2.5546474E7	2.4244816E7	4.221736E7	1.4472903E7	1.6724609E7	1.1642172E7	3.6043272E7	3.7089628E7	2.980874E7	3.9068708E7	1.1958238E7	9009374.0	1.3199317E7	9424551.0	1.3639227E7	1.0091248E7	1.2098069E7	1.2360228E7	7713577.0	1.0894991E7	2.196824E7	1.1349808E7	1.7466728E7	1.8213754E7	1.2406964E7	
sp|Q6DRC4|EIF3G_DANRE	Q6DRC4	EIF3G_DANRE	eif3g	293	Danio rerio	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit G	1.0	0.999	6	24	24	24	1	3	1	2	2	1	1	2	0	3	3	1	1	2	1	1	3	1	2	2	1	1	2	0	3	3	1	1	2	1	1	3	1	2	2	1	1	2	0	3	3	1	1	2	1	1.4920535E7	5.2416584E7	4.563648E7	3.1344378E7	2.959782E7	9909842.0	8499440.0	3.6091856E7	0.0	2.994986E7	3.110753E7	1.2236309E7	2.435933E7	3.7402528E7	9404002.0	1.3430122E7	2.1383088E7	1.3996178E7	1.0400906E7	2.194513E7	1.3254124E7	1.1367753E7	2.6980758E7	0.0	1.1616826E7	2.3636342E7	1.6365706E7	1.0916457E7	2.6068236E7	9449214.0	
sp|Q6DRD3|DPOLB_DANRE	Q6DRD3	DPOLB_DANRE	polb	336	Danio rerio	2:Experimental evidence at transcript level	DNA polymerase beta	1.0	0.9984	3	5	5	5	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0.0	1540922.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	965419.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q6DRF3|PSB1_DANRE	Q6DRF3	PSB1_DANRE	psmb1	237	Danio rerio	2:Experimental evidence at transcript level	Proteasome subunit beta type-1	1.0	0.999	10	130	130	130	8	11	8	9	8	10	10	6	9	7	7	8	11	9	9	8	11	8	9	8	10	10	6	9	7	7	8	11	9	9	8	11	8	9	8	10	10	6	9	7	7	8	11	9	9	3.38136928E8	1.59352624E8	2.15414208E8	3.30833152E8	1.4389016E8	2.22190528E8	2.09157472E8	8.0687264E7	2.02059632E8	3.65489152E8	1.07477968E8	1.67345008E8	3.14434912E8	1.11745152E8	2.60463888E8	8.2723552E7	5.1386048E7	4.7702164E7	6.6092936E7	3.0630474E7	4.781144E7	4.020854E7	2.475032E7	4.8002868E7	1.5657128E8	3.1117928E7	4.5266472E7	6.6255536E7	3.7908748E7	5.8973664E7	
sp|Q6DRG7|MYPT1_DANRE	Q6DRG7	MYPT1_DANRE	ppp1r12a	1049	Danio rerio	2:Experimental evidence at transcript level	Protein phosphatase 1 regulatory subunit 12A	1.0	0.999	4	29	29	29	0	3	2	2	4	3	1	3	3	1	2	3	0	1	1	0	3	2	2	4	3	1	3	3	1	2	3	0	1	1	0	3	2	2	4	3	1	3	3	1	2	3	0	1	1	0.0	1.6970906E7	1.5678942E7	1.2547596E7	2.5940872E7	2.2243332E7	6734529.0	2.0790792E7	1.6449521E7	3645346.2	1.2286698E7	1.7464612E7	0.0	3544376.5	1.5850602E7	0.0	8679598.0	8245694.0	5813925.5	8081243.5	7321896.5	6756118.5	1.0615862E7	8705797.0	3.9658476E7	7086237.0	6342311.5	0.0	3966291.0	7418993.0	
sp|Q6DRI1|EI3EA_DANRE	Q6DRI1	EI3EA_DANRE	eif3ea	446	Danio rerio	2:Experimental evidence at transcript level	Eukaryotic translation initiation factor 3 subunit E-A	1.0	0.9982	4	15	5	15	0	2	1	1	2	0	1	1	0	0	1	1	2	1	2	0	0	1	0	0	0	1	1	0	0	0	1	1	0	0	0	2	1	1	2	0	1	1	0	0	1	1	2	1	2	0.0	8743019.0	0.0	0.0	2348840.8	0.0	0.0	2893855.0	0.0	0.0	1267473.6	0.0	0.0	1744134.1	2.4746114E7	0.0	8743019.0	0.0	0.0	2348840.8	0.0	0.0	0.0	0.0	0.0	1267473.6	0.0	0.0	1744134.1	2.4746114E7	
sp|Q6DRP2|GNL3_DANRE	Q6DRP2	GNL3_DANRE	gnl3	561	Danio rerio	2:Experimental evidence at transcript level	Guanine nucleotide-binding protein-like 3	1.0	0.9988	2	14	14	14	1	2	1	1	1	1	1	1	0	0	1	1	1	0	2	1	2	1	1	1	1	1	1	0	0	1	1	1	0	2	1	2	1	1	1	1	1	1	0	0	1	1	1	0	2	818993.1	7612001.0	868951.06	1737979.1	1741641.6	1744734.2	1109324.2	1336493.9	0.0	0.0	2220293.5	1505935.4	1523783.6	0.0	1.1030394E7	818993.1	4815961.0	868951.06	1737979.1	1741641.6	1744734.2	1109324.2	1336493.9	0.0	0.0	2220293.5	1505935.4	1523783.6	0.0	9620950.0	
sp|Q6GQM0|MREG_DANRE	Q6GQM0	MREG_DANRE	mreg	234	Danio rerio	2:Experimental evidence at transcript level	Melanoregulin	0.5612	0.9877	1	2	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0.0	0.0	0.0	0.0	9907177.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
