Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	5dpf_1 Spectral Count	5dpf_2 Spectral Count	5dpf_1 Unique Spectral Count	5dpf_2 Unique Spectral Count	5dpf_1 Total Spectral Count	5dpf_2 Total Spectral Count	5dpf_1 Intensity	5dpf_2 Intensity	Indistinguishable Proteins
sp|Q66HW4|GLMP_DANRE	Q66HW4	GLMP_DANRE	glmp	407	Danio rerio	2:Experimental evidence at transcript level	Glycosylated lysosomal membrane protein	0.9987	0.999	2	3	3	3	2	1	2	1	2	1	6.0660464E7	5.8456048E7	
sp|Q66HX8|GDAP2_DANRE	Q66HX8	GDAP2_DANRE	gdap2	504	Danio rerio	2:Experimental evidence at transcript level	Ganglioside-induced differentiation-associated protein 2	0.6511	0.9751	2	6	6	6	4	2	4	2	4	2	3.80164416E8	1.11338368E8	
sp|Q66HY7|IF4E3_DANRE	Q66HY7	IF4E3_DANRE	eif4e3	224	Danio rerio	2:Experimental evidence at transcript level	Eukaryotic translation initiation factor 4E type 3	1.0	0.9989	4	8	8	8	6	2	6	2	6	2	3.16559616E8	1.4649616E8	
sp|Q66HY8|PDXD1_DANRE	Q66HY8	PDXD1_DANRE	pdxdc1	751	Danio rerio	2:Experimental evidence at transcript level	Pyridoxal-dependent decarboxylase domain-containing protein 1	0.9728	0.9989	2	5	5	5	3	2	3	2	3	2	1.6077728E8	1.63652592E8	
sp|Q66HZ2|RIMKB_DANRE	Q66HZ2	RIMKB_DANRE	rimklb	405	Danio rerio	2:Experimental evidence at transcript level	Beta-citrylglutamate synthase B	0.9726	0.9815	3	4	4	4	3	1	3	1	3	1	9.9593864E7	3.9478248E7	
sp|Q66I08|OSTA_DANRE	Q66I08	OSTA_DANRE	slc51a	326	Danio rerio	2:Experimental evidence at transcript level	Organic solute transporter subunit alpha	0.7742	0.9915	1	1	1	1	0	1	0	1	0	1	0.0	0.0	
sp|Q66I12|CCD47_DANRE	Q66I12	CCD47_DANRE	ccdc47	486	Danio rerio	2:Experimental evidence at transcript level	PAT complex subunit CCDC47	1.0	0.999	7	18	18	18	11	7	11	7	11	7	4.29795392E8	2.92323808E8	
sp|Q66I14|SPS3_DANRE	Q66I14	SPS3_DANRE	sephs3	447	Danio rerio	2:Experimental evidence at transcript level	Selenide, water dikinase 3	1.0	0.999	9	50	50	50	29	21	29	21	29	21	5.0056356E9	1.65847091E9	
sp|Q66I21|AL8A1_DANRE	Q66I21	AL8A1_DANRE	aldh8a1	487	Danio rerio	2:Experimental evidence at transcript level	2-aminomuconic semialdehyde dehydrogenase	1.0	0.999	20	72	72	72	32	40	32	40	32	40	3.76497485E9	4.2960507E9	
sp|Q66I24|ASSY_DANRE	Q66I24	ASSY_DANRE	ass1	414	Danio rerio	2:Experimental evidence at transcript level	Argininosuccinate synthase	1.0	0.999	19	40	40	40	20	20	20	20	20	20	1.47728154E9	1.17346035E9	
sp|Q66I42|MOESA_DANRE	Q66I42	MOESA_DANRE	msna	579	Danio rerio	1:Experimental evidence at protein level	Moesin a	1.0	0.999	48	210	210	210	109	101	109	101	109	101	1.87565363E10	1.45752453E10	
sp|Q66I59|ASPDH_DANRE	Q66I59	ASPDH_DANRE	aspdh	276	Danio rerio	2:Experimental evidence at transcript level	Aspartate dehydrogenase domain-containing protein	1.0	0.999	5	6	6	6	5	1	5	1	5	1	1.64338144E8	1.7330156E7	
sp|Q66I61|STEEP_DANRE	Q66I61	STEEP_DANRE	steep1	224	Danio rerio	2:Experimental evidence at transcript level	STING ER exit protein	1.0	0.999	4	9	9	9	5	4	5	4	5	4	3.59882816E8	2.15651744E8	
sp|Q66I71|UCK1_DANRE	Q66I71	UCK1_DANRE	uck1	277	Danio rerio	2:Experimental evidence at transcript level	Uridine-cytidine kinase 1	0.7393	0.9898	1	1	0	1	1	0	0	0	1	0	2.2953936E7	0.0	sp|Q7SYM0|UCK2A_DANRE, sp|Q7ZV79|UCK2B_DANRE
sp|Q66I73|MLRSB_DANRE	Q66I73	MLRSB_DANRE	mylpfb	170	Danio rerio	2:Experimental evidence at transcript level	Myosin regulatory light chain 2, skeletal muscle isoform B	1.0	0.999	23	249	249	1275	131	118	131	118	648	627	9.9449094E10	9.1349811E10	
sp|Q66I75|MTNB_DANRE	Q66I75	MTNB_DANRE	apip	241	Danio rerio	2:Experimental evidence at transcript level	Methylthioribulose-1-phosphate dehydratase	1.0	0.999	18	80	80	80	39	41	39	41	39	41	4.8189184E9	3.18634138E9	
sp|Q66IB8|CB076_DANRE	Q66IB8	CB076_DANRE	zgc:101851	126	Danio rerio	2:Experimental evidence at transcript level	UPF0538 protein C2orf76 homolog	0.9999	0.999	3	5	5	5	4	1	4	1	4	1	9.1890568E7	3444531.0	
sp|Q66L49|SCMC1_DANRE	Q66L49	SCMC1_DANRE	slc25a24	477	Danio rerio	2:Experimental evidence at transcript level	Mitochondrial adenyl nucleotide antiporter SLC25A24	1.0	0.999	17	70	69	70	40	30	39	30	40	30	5.9844572E9	3.92183347E9	
sp|Q66L58|VAC14_DANRE	Q66L58	VAC14_DANRE	vac14	771	Danio rerio	2:Experimental evidence at transcript level	Protein VAC14 homolog	1.0	0.999	10	15	15	15	12	3	12	3	12	3	6.6249062E8	1.38353456E8	
sp|Q68EH7|HXC8A_DANRE	Q68EH7	HXC8A_DANRE	hoxc8a	250	Danio rerio	2:Experimental evidence at transcript level	Homeobox protein Hox-C8a	0.6701	0.9858	1	1	0	1	0	1	0	0	0	1	0.0	1.8242812E7	sp|Q8AWZ0|HXB8A_DANRE, sp|Q8JH55|HXB8B_DANRE
sp|Q68EH8|FAD1_DANRE	Q68EH8	FAD1_DANRE	flad1	497	Danio rerio	2:Experimental evidence at transcript level	FAD synthase	0.9999	0.999	3	5	5	5	3	2	3	2	3	2	6.7627088E7	6.3238484E7	
sp|Q68EI0|WDR18_DANRE	Q68EI0	WDR18_DANRE	wdr18	431	Danio rerio	2:Experimental evidence at transcript level	WD repeat-containing protein 18	1.0	0.999	5	10	10	10	7	3	7	3	7	3	3.42890432E8	1.11893152E8	
sp|Q68EK7|RAB4B_DANRE	Q68EK7	RAB4B_DANRE	rab4b	213	Danio rerio	2:Experimental evidence at transcript level	Ras-related protein Rab-4B	1.0	0.9989	8	12	12	59	7	5	7	5	28	31	4.77657568E8	2.06487168E8	
sp|Q68EL2|DTD2_DANRE	Q68EL2	DTD2_DANRE	dtd2	160	Danio rerio	1:Experimental evidence at protein level	D-aminoacyl-tRNA deacylase 2	1.0	0.999	9	16	16	16	12	4	12	4	12	4	4.55532736E8	1.78095072E8	
sp|Q68FN7|DHSDB_DANRE	Q68FN7	DHSDB_DANRE	sdhdb	158	Danio rerio	2:Experimental evidence at transcript level	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit B, mitochondrial	0.9994	0.9949	2	9	9	9	5	4	5	4	5	4	2.69771456E8	4.14552256E8	
sp|Q68SP4|CADH5_DANRE	Q68SP4	CADH5_DANRE	cdh5	767	Danio rerio	1:Experimental evidence at protein level	Cadherin-5	1.0	0.999	8	9	9	9	7	2	7	2	7	2	3.31655488E8	4.3358032E7	
sp|Q696W0|SPEG_DANRE	Q696W0	SPEG_DANRE	speg	2995	Danio rerio	2:Experimental evidence at transcript level	Striated muscle preferentially expressed protein kinase	1.0	0.988	2	4	4	4	2	2	2	2	2	2	4.7683152E8	2.74701088E8	
sp|Q6AXJ2|EI3HA_DANRE	Q6AXJ2	EI3HA_DANRE	eif3ha	335	Danio rerio	2:Experimental evidence at transcript level	Eukaryotic translation initiation factor 3 subunit H-A	1.0	0.999	9	56	39	56	29	27	21	18	29	27	5.7437384E9	3.7744425E9	
sp|Q6AXK4|BABA1_DANRE	Q6AXK4	BABA1_DANRE	babam1	370	Danio rerio	1:Experimental evidence at protein level	BRISC and BRCA1-A complex member 1	1.0	0.999	7	14	14	14	6	8	6	8	6	8	4.54519616E8	3.50716224E8	
sp|Q6AXL4|NCLDB_DANRE	Q6AXL4	NCLDB_DANRE	ncaldb	192	Danio rerio	2:Experimental evidence at transcript level	Neurocalcin-delta B	1.0	0.999	10	23	23	88	12	11	12	11	48	40	1.09410893E9	1.10507738E9	
sp|Q6AZA0|THIL_DANRE	Q6AZA0	THIL_DANRE	acat1	420	Danio rerio	2:Experimental evidence at transcript level	Acetyl-CoA acetyltransferase, mitochondrial	1.0	0.999	28	184	184	184	103	81	103	81	103	81	1.6826113E10	8.4136397E9	
sp|Q6AZB3|CPIN1_DANRE	Q6AZB3	CPIN1_DANRE	ciapin1	311	Danio rerio	2:Experimental evidence at transcript level	Anamorsin	1.0	0.999	11	27	27	27	14	13	14	13	14	13	1.31860096E9	1.05980186E9	
sp|Q6AZW2|A1A1A_DANRE	Q6AZW2	A1A1A_DANRE	akr1a1a	324	Danio rerio	2:Experimental evidence at transcript level	Aldo-keto reductase family 1 member A1-A	1.0	0.999	13	27	27	27	15	12	15	12	15	12	2.85192166E9	9.8966342E8	
sp|Q6BEA0|PLXA4_DANRE	Q6BEA0	PLXA4_DANRE	plxna4	1903	Danio rerio	2:Experimental evidence at transcript level	Plexin-A4	1.0	0.999	33	37	37	52	18	19	18	19	27	25	1.02918125E9	6.3994445E8	
sp|Q6DBQ8|CPTP_DANRE	Q6DBQ8	CPTP_DANRE	cptp	211	Danio rerio	2:Experimental evidence at transcript level	Ceramide-1-phosphate transfer protein	0.5213	0.9738	1	1	1	1	1	0	1	0	1	0	3.8610776E7	0.0	
sp|Q6DBR4|TIPIN_DANRE	Q6DBR4	TIPIN_DANRE	tipin	294	Danio rerio	2:Experimental evidence at transcript level	TIMELESS-interacting protein	0.5535	0.9769	2	2	2	2	0	2	0	2	0	2	0.0	1.2013689E7	
sp|Q6DBR9|KXDL1_DANRE	Q6DBR9	KXDL1_DANRE	kxd1	182	Danio rerio	2:Experimental evidence at transcript level	KxDL motif-containing protein 1	0.5205	0.9737	1	2	2	2	1	1	1	1	1	1	1.7724238E7	1.7091776E7	
sp|Q6DBT3|TXD17_DANRE	Q6DBT3	TXD17_DANRE	txndc17	123	Danio rerio	2:Experimental evidence at transcript level	Thioredoxin domain-containing protein 17	1.0	0.999	12	65	65	65	34	31	34	31	34	31	1.21534177E10	5.9629839E9	
sp|Q6DBU5|GMPPB_DANRE	Q6DBU5	GMPPB_DANRE	gmppb	360	Danio rerio	1:Experimental evidence at protein level	Mannose-1-phosphate guanylyltransferase catalytic subunit beta	1.0	0.999	21	67	67	67	35	32	35	32	35	32	4.8695875E9	3.4039104E9	
sp|Q6DBU8|LIPH_DANRE	Q6DBU8	LIPH_DANRE	liph	454	Danio rerio	2:Experimental evidence at transcript level	Lipase member H	0.9998	0.9988	3	5	5	5	3	2	3	2	3	2	8.2309984E7	1.806137E7	
sp|Q6DBW9|C99L2_DANRE	Q6DBW9	C99L2_DANRE	cd99l2	252	Danio rerio	2:Experimental evidence at transcript level	CD99 antigen-like protein 2	1.0	0.999	3	8	8	8	5	3	5	3	5	3	3.69414816E8	3.23943552E8	
sp|Q6DBX1|MED20_DANRE	Q6DBX1	MED20_DANRE	med20	212	Danio rerio	2:Experimental evidence at transcript level	Mediator of RNA polymerase II transcription subunit 20	1.0	0.999	3	5	5	5	2	3	2	3	2	3	6.1037288E7	9.9866176E7	
sp|Q6DBY0|NUP85_DANRE	Q6DBY0	NUP85_DANRE	nup85	649	Danio rerio	2:Experimental evidence at transcript level	Nuclear pore complex protein Nup85	1.0	0.999	7	13	13	13	8	5	8	5	8	5	5.31122304E8	1.2709756E8	
sp|Q6DBY2|NAA50_DANRE	Q6DBY2	NAA50_DANRE	naa50	168	Danio rerio	1:Experimental evidence at protein level	N-alpha-acetyltransferase 50	1.0	0.999	11	27	27	27	13	14	13	14	13	14	3.06048922E9	1.73326925E9	
sp|Q6DBY5|UEVLD_DANRE	Q6DBY5	UEVLD_DANRE	uevld	471	Danio rerio	2:Experimental evidence at transcript level	Ubiquitin-conjugating enzyme E2 variant 3	1.0	0.999	6	9	9	9	6	3	6	3	6	3	4.06175616E8	2.02463104E9	
sp|Q6DC02|KCD15_DANRE	Q6DC02	KCD15_DANRE	kctd15	257	Danio rerio	1:Experimental evidence at protein level	BTB/POZ domain-containing protein kctd15	1.0	0.999	12	22	12	22	14	8	7	5	14	8	7.2774304E8	4.31843904E8	
sp|Q6DC04|CARM1_DANRE	Q6DC04	CARM1_DANRE	carm1	588	Danio rerio	2:Experimental evidence at transcript level	Histone-arginine methyltransferase CARM1	1.0	0.999	21	70	70	70	43	27	43	27	43	27	4.9237356E9	3.10750771E9	
sp|Q6DC17|MZT2_DANRE	Q6DC17	MZT2_DANRE	mzt2	153	Danio rerio	2:Experimental evidence at transcript level	Mitotic-spindle organizing protein 2	0.9585	0.9987	2	5	5	5	3	2	3	2	3	2	2.12083552E8	1.73872544E8	
sp|Q6DC37|HNMT_DANRE	Q6DC37	HNMT_DANRE	hnmt	292	Danio rerio	2:Experimental evidence at transcript level	Histamine N-methyltransferase	1.0	0.999	6	10	10	10	5	5	5	5	5	5	7.0123686E8	5.622944E8	
sp|Q6DC39|DESI2_DANRE	Q6DC39	DESI2_DANRE	desi2	196	Danio rerio	2:Experimental evidence at transcript level	Deubiquitinase DESI2	0.8733	0.9958	1	2	2	2	1	1	1	1	1	1	7.5570256E7	5.234424E7	
sp|Q6DC53|CTU2_DANRE	Q6DC53	CTU2_DANRE	ctu2	501	Danio rerio	2:Experimental evidence at transcript level	Cytoplasmic tRNA 2-thiolation protein 2	0.8371	0.9745	2	2	2	2	0	2	0	2	0	2	0.0	308821.3	
sp|Q6DC93|PEF1_DANRE	Q6DC93	PEF1_DANRE	pef1	270	Danio rerio	2:Experimental evidence at transcript level	Peflin	1.0	0.999	2	5	5	5	4	1	4	1	4	1	1.37254528E8	7.6821976E7	
sp|Q6DEG4|LTOR2_DANRE	Q6DEG4	LTOR2_DANRE	lamtor2	125	Danio rerio	2:Experimental evidence at transcript level	Ragulator complex protein LAMTOR2	1.0	0.999	6	26	26	26	13	13	13	13	13	13	9.4537856E8	7.4273811E8	
sp|Q6DEH3|KC2D1_DANRE	Q6DEH3	KC2D1_DANRE	camk2d1	491	Danio rerio	2:Experimental evidence at transcript level	Calcium/calmodulin-dependent protein kinase type II delta 1 chain	1.0	0.999	32	231	89	231	120	111	46	43	120	111	2.59037491E10	1.88474921E10	
sp|Q6DEI8|MIA40_DANRE	Q6DEI8	MIA40_DANRE	chchd4	146	Danio rerio	2:Experimental evidence at transcript level	Mitochondrial intermembrane space import and assembly protein 40	1.0	0.999	3	12	12	12	7	5	7	5	7	5	1.3549344E9	1.084272E9	
sp|Q6DEJ5|AASD1_DANRE	Q6DEJ5	AASD1_DANRE	aarsd1	412	Danio rerio	2:Experimental evidence at transcript level	Alanyl-tRNA editing protein Aarsd1	1.0	0.9988	9	16	16	16	9	7	9	7	9	7	6.8105094E8	3.35078528E8	
sp|Q6DEL2|CLPT1_DANRE	Q6DEL2	CLPT1_DANRE	clptm1	631	Danio rerio	2:Experimental evidence at transcript level	Putative lipid scramblase CLPTM1	1.0	0.999	8	16	16	16	10	6	10	6	10	6	1.72457485E9	5.0950864E8	
sp|Q6DEM5|TIM8A_DANRE	Q6DEM5	TIM8A_DANRE	timm8a	90	Danio rerio	3:Protein inferred from homology	Mitochondrial import inner membrane translocase subunit Tim8 A	0.9997	0.999	2	4	4	4	3	1	3	1	3	1	1.03470392E8	1.1730503E7	
sp|Q6DEN0|UFC1_DANRE	Q6DEN0	UFC1_DANRE	ufc1	166	Danio rerio	2:Experimental evidence at transcript level	Ubiquitin-fold modifier-conjugating enzyme 1	1.0	0.999	8	32	32	32	15	17	15	17	15	17	2.74692787E9	2.01123942E9	
sp|Q6DG22|ADA_DANRE	Q6DG22	ADA_DANRE	ada	359	Danio rerio	2:Experimental evidence at transcript level	Adenosine deaminase	1.0	0.999	32	184	184	184	97	87	97	87	97	87	2.76053811E10	1.77003643E10	
sp|Q6DG38|GPAT3_DANRE	Q6DG38	GPAT3_DANRE	gpat3	449	Danio rerio	2:Experimental evidence at transcript level	Glycerol-3-phosphate acyltransferase 3	0.868	0.9956	1	2	2	2	1	1	1	1	1	1	5.20900608E8	4.84695872E8	
sp|Q6DG60|UBE2Z_DANRE	Q6DG60	UBE2Z_DANRE	ube2z	328	Danio rerio	2:Experimental evidence at transcript level	Ubiquitin-conjugating enzyme E2 Z	1.0	0.999	7	10	10	10	7	3	7	3	7	3	3.62472672E8	9.5238256E7	
sp|Q6DG81|PLST_DANRE	Q6DG81	PLST_DANRE	pls3	627	Danio rerio	2:Experimental evidence at transcript level	Plastin-3	1.0	0.999	37	402	318	402	204	198	163	155	204	198	6.4770822E10	4.3481784E10	
sp|Q6DG85|URIC_DANRE	Q6DG85	URIC_DANRE	uox	298	Danio rerio	1:Experimental evidence at protein level	Uricase	1.0	0.999	18	109	109	109	57	52	57	52	57	52	1.07205202E10	7.4450207E9	
sp|Q6DG88|ATG4B_DANRE	Q6DG88	ATG4B_DANRE	atg4b	394	Danio rerio	2:Experimental evidence at transcript level	Cysteine protease ATG4B	0.9926	0.9989	2	3	3	3	2	1	2	1	2	1	5.17187328E8	3.9161256E7	
sp|Q6DG91|PSMG1_DANRE	Q6DG91	PSMG1_DANRE	psmg1	277	Danio rerio	2:Experimental evidence at transcript level	Proteasome assembly chaperone 1	1.0	0.999	3	3	3	3	3	0	3	0	3	0	1.31920912E8	0.0	
sp|Q6DG99|KCTD6_DANRE	Q6DG99	KCTD6_DANRE	kctd6	237	Danio rerio	2:Experimental evidence at transcript level	BTB/POZ domain-containing protein KCTD6	0.9786	0.999	2	3	3	3	2	1	2	1	2	1	1.43317248E8	7.1283936E7	
sp|Q6DGA6|ALLC_DANRE	Q6DGA6	ALLC_DANRE	allc	395	Danio rerio	2:Experimental evidence at transcript level	Allantoicase	0.8792	0.9812	2	2	2	2	2	0	2	0	2	0	4.6797128E7	0.0	
sp|Q6DGE9|UN45B_DANRE	Q6DGE9	UN45B_DANRE	unc45b	934	Danio rerio	1:Experimental evidence at protein level	Protein unc-45 homolog B	1.0	0.999	33	63	63	63	40	23	40	23	40	23	2.35419571E9	1.17486093E9	
sp|Q6DGI3|NOP16_DANRE	Q6DGI3	NOP16_DANRE	nop16	171	Danio rerio	2:Experimental evidence at transcript level	Nucleolar protein 16	0.9814	0.9759	2	5	5	5	4	1	4	1	4	1	2.11319152E8	1.3080776E7	
sp|Q6DGJ1|GRIFN_DANRE	Q6DGJ1	GRIFN_DANRE	grifin	139	Danio rerio	1:Experimental evidence at protein level	Grifin	1.0	0.999	12	41	41	41	21	20	21	20	21	20	4.23586048E9	3.0943575E9	
sp|Q6DGJ3|TIM13_DANRE	Q6DGJ3	TIM13_DANRE	timm13	95	Danio rerio	3:Protein inferred from homology	Mitochondrial import inner membrane translocase subunit Tim13	1.0	0.999	5	14	14	14	7	7	7	7	7	7	7.2011648E8	6.3176845E8	
sp|Q6DGK2|LDHBB_DANRE	Q6DGK2	LDHBB_DANRE	ldhbb	334	Danio rerio	2:Experimental evidence at transcript level	L-lactate dehydrogenase B-B chain	1.0	0.999	24	25	25	455	15	10	15	10	239	216	1.0580503E9	5.7943949E8	
sp|Q6DGL8|RT15_DANRE	Q6DGL8	RT15_DANRE	mrps15	263	Danio rerio	2:Experimental evidence at transcript level	Small ribosomal subunit protein uS15m	0.9848	0.9971	3	3	3	3	1	2	1	2	1	2	1.2566978E7	3.2555354E7	
sp|Q6DGQ0|SPT4H_DANRE	Q6DGQ0	SPT4H_DANRE	supt4h1	117	Danio rerio	3:Protein inferred from homology	Transcription elongation factor SPT4	1.0	0.999	2	7	7	7	4	3	4	3	4	3	2.32719888E8	9.12104E7	
sp|Q6DGR4|HGH1_DANRE	Q6DGR4	HGH1_DANRE	hgh1	377	Danio rerio	2:Experimental evidence at transcript level	Protein HGH1 homolog	0.9529	0.998	2	2	2	2	2	0	2	0	2	0	7.5460712E7	0.0	
sp|Q6DGS3|KC2D2_DANRE	Q6DGS3	KC2D2_DANRE	camk2d2	554	Danio rerio	2:Experimental evidence at transcript level	Calcium/calmodulin-dependent protein kinase type II delta 2 chain	1.0	0.999	30	58	58	200	30	28	30	28	104	96	3.93188224E9	2.83169946E9	
sp|Q6DGV1|CELF4_DANRE	Q6DGV1	CELF4_DANRE	celf4	520	Danio rerio	2:Experimental evidence at transcript level	CUGBP Elav-like family member 4	1.0	0.9988	7	6	6	15	4	2	4	2	8	7	2.15721984E8	1.23576008E8	
sp|Q6DGW9|TMCO1_DANRE	Q6DGW9	TMCO1_DANRE	tmco1	188	Danio rerio	2:Experimental evidence at transcript level	Calcium load-activated calcium channel	0.9996	0.999	3	8	8	8	3	5	3	5	3	5	7.8706848E7	7.3422032E7	
sp|Q6DGY7|CRGNB_DANRE	Q6DGY7	CRGNB_DANRE	crygnb	183	Danio rerio	2:Experimental evidence at transcript level	Gamma-crystallin N-B	1.0	0.999	24	195	183	195	92	103	86	97	92	103	1.68567736E10	3.50657E10	
sp|Q6DGZ0|GPT11_DANRE	Q6DGZ0	GPT11_DANRE	gpatch11	262	Danio rerio	2:Experimental evidence at transcript level	G patch domain-containing protein 11	0.9941	0.999	2	5	5	5	3	2	3	2	3	2	2.50150736E8	1.14799152E8	
sp|Q6DGZ3|THOC7_DANRE	Q6DGZ3	THOC7_DANRE	thoc7	202	Danio rerio	2:Experimental evidence at transcript level	THO complex subunit 7 homolog	1.0	0.9987	4	6	6	6	4	2	4	2	4	2	1.54305568E8	3.7427708E7	
sp|Q6DH23|V26BL_DANRE	Q6DH23	V26BL_DANRE	vps26bl	329	Danio rerio	2:Experimental evidence at transcript level	Vacuolar protein sorting-associated protein 26B-like	1.0	0.999	15	8	8	36	6	2	6	2	23	13	1.9917704E8	6.8994904E7	
sp|Q6DH42|ENY2_DANRE	Q6DH42	ENY2_DANRE	eny2	95	Danio rerio	3:Protein inferred from homology	Transcription and mRNA export factor ENY2	1.0	0.999	4	7	7	7	3	4	3	4	3	4	1.98806752E8	3.21273248E8	
sp|Q6DH44|WDR83_DANRE	Q6DH44	WDR83_DANRE	wdr83	315	Danio rerio	2:Experimental evidence at transcript level	WD repeat domain-containing protein 83	1.0	0.999	3	4	4	4	3	1	3	1	3	1	1.72004672E8	2.5733654E7	
sp|Q6DH65|DENR_DANRE	Q6DH65	DENR_DANRE	denr	208	Danio rerio	1:Experimental evidence at protein level	Density-regulated protein	1.0	0.999	4	10	10	10	7	3	7	3	7	3	5.20302208E8	4.34091392E8	
sp|Q6DH66|TM20B_DANRE	Q6DH66	TM20B_DANRE	tomm20b	146	Danio rerio	1:Experimental evidence at protein level	Mitochondrial import receptor subunit TOM20 homolog B	0.999	0.9959	2	10	10	10	5	5	5	5	5	5	6.4636723E8	6.264448E8	
sp|Q6DH87|FUND1_DANRE	Q6DH87	FUND1_DANRE	fundc1	152	Danio rerio	2:Experimental evidence at transcript level	FUN14 domain-containing protein 1	0.9934	0.999	2	3	3	3	2	1	2	1	2	1	2.17555344E8	1.97429936E8	
sp|Q6DH88|COX20_DANRE	Q6DH88	COX20_DANRE	cox20	111	Danio rerio	3:Protein inferred from homology	Cytochrome c oxidase assembly protein COX20, mitochondrial	0.9939	0.999	2	3	3	3	1	2	1	2	1	2	5.011974E7	8.911464E7	
sp|Q6DHB5|LHPL3_DANRE	Q6DHB5	LHPL3_DANRE	lhfpl3	216	Danio rerio	2:Experimental evidence at transcript level	LHFPL tetraspan subfamily member 3 protein	0.4933	0.9707	1	1	1	1	0	1	0	1	0	1	0.0	2.4849306E7	
sp|Q6DHC1|RB18B_DANRE	Q6DHC1	RB18B_DANRE	rab18b	205	Danio rerio	2:Experimental evidence at transcript level	Ras-related protein Rab-18-B	1.0	0.999	14	57	57	57	32	25	32	25	32	25	3.30194662E9	1.56114163E9	
sp|Q6DHE8|RHOAD_DANRE	Q6DHE8	RHOAD_DANRE	rhoad	193	Danio rerio	1:Experimental evidence at protein level	Rho-related GTP-binding protein RhoA-D	1.0	0.9986	13	6	6	91	3	3	3	3	47	44	2.44186624E8	1.440432E8	
sp|Q6DHG0|SETD7_DANRE	Q6DHG0	SETD7_DANRE	setd7	373	Danio rerio	2:Experimental evidence at transcript level	Histone-lysine N-methyltransferase SETD7	0.9997	0.9987	2	2	2	2	2	0	2	0	2	0	2.4658184E7	0.0	
sp|Q6DHH7|LZIC_DANRE	Q6DHH7	LZIC_DANRE	lzic	190	Danio rerio	1:Experimental evidence at protein level	Protein LZIC	1.0	0.999	10	27	27	27	11	16	11	16	11	16	1.87906573E9	1.77269773E9	
sp|Q6DHI0|ACY3A_DANRE	Q6DHI0	ACY3A_DANRE	acy3.1	328	Danio rerio	2:Experimental evidence at transcript level	N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming) A	1.0	0.9985	8	8	8	30	5	3	5	3	17	13	4.19112832E8	5.4152275E8	
sp|Q6DHI5|SIR5_DANRE	Q6DHI5	SIR5_DANRE	sirt5	305	Danio rerio	1:Experimental evidence at protein level	NAD-dependent protein deacylase sirtuin-5, mitochondrial	1.0	0.999	7	16	16	16	11	5	11	5	11	5	9.0472314E8	2.45731856E8	
sp|Q6DHK1|NNRE_DANRE	Q6DHK1	NNRE_DANRE	naxe	283	Danio rerio	1:Experimental evidence at protein level	NAD(P)H-hydrate epimerase	1.0	0.999	13	73	73	73	40	33	40	33	40	33	4.25822566E9	3.15049754E9	
sp|Q6DHL4|SUMO2_DANRE	Q6DHL4	SUMO2_DANRE	sumo2	96	Danio rerio	3:Protein inferred from homology	Small ubiquitin-related modifier 2	1.0	0.999	6	41	41	65	24	17	24	17	36	29	5.4088924E9	3.90905216E9	
sp|Q6DHL5|LRC57_DANRE	Q6DHL5	LRC57_DANRE	lrrc57	238	Danio rerio	2:Experimental evidence at transcript level	Leucine-rich repeat-containing protein 57	1.0	0.999	10	33	33	33	20	13	20	13	20	13	1.32346995E9	1.2123776E9	
sp|Q6DHM9|RHOAB_DANRE	Q6DHM9	RHOAB_DANRE	rhoab	193	Danio rerio	1:Experimental evidence at protein level	Rho-related GTP-binding protein RhoA-B	1.0	0.999	12	96	13	96	51	45	8	5	51	45	1.3994196E10	7.8446858E9	
sp|Q6DHN3|TM2D2_DANRE	Q6DHN3	TM2D2_DANRE	tm2d2	229	Danio rerio	2:Experimental evidence at transcript level	TM2 domain-containing protein 2	0.6464	0.9842	1	2	2	2	1	1	1	1	1	1	4.2355204E7	3.1817982E7	
sp|Q6DHP6|NARF_DANRE	Q6DHP6	NARF_DANRE	narf	465	Danio rerio	2:Experimental evidence at transcript level	Nuclear prelamin A recognition factor	0.9981	0.999	3	3	3	3	1	2	1	2	1	2	3.4410744E7	4.1832648E7	
sp|Q6DHQ3|ACY3B_DANRE	Q6DHQ3	ACY3B_DANRE	acy3.2	314	Danio rerio	2:Experimental evidence at transcript level	N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming) B	1.0	0.999	19	63	41	63	38	25	26	15	38	25	4.2616663E9	2.5892009E9	
sp|Q6DHU4|PR38A_DANRE	Q6DHU4	PR38A_DANRE	prpf38a	313	Danio rerio	2:Experimental evidence at transcript level	Pre-mRNA-splicing factor 38A	0.875	0.9958	1	1	1	1	1	0	1	0	1	0	4.35804E7	0.0	
sp|Q6DHU8|TOPK_DANRE	Q6DHU8	TOPK_DANRE	pbk	339	Danio rerio	2:Experimental evidence at transcript level	Lymphokine-activated killer T-cell-originated protein kinase homolog	1.0	0.9975	5	7	7	7	5	2	5	2	5	2	5.21059744E8	6.192504E7	
