Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	6hpf Spectral Count	6hpf Unique Spectral Count	6hpf Total Spectral Count	6hpf Intensity	Indistinguishable Proteins
sp|Q6DHL4|SUMO2_DANRE	Q6DHL4	SUMO2_DANRE	sumo2	96	Danio rerio	3:Protein inferred from homology	Small ubiquitin-related modifier 2	0.9999	0.9989	4	16	16	32	16	16	32	6.3540772E9	
sp|Q6DHL5|LRC57_DANRE	Q6DHL5	LRC57_DANRE	lrrc57	238	Danio rerio	2:Experimental evidence at transcript level	Leucine-rich repeat-containing protein 57	1.0	0.999	13	25	25	25	25	25	25	7.1121336E9	
sp|Q6DHM9|RHOAB_DANRE	Q6DHM9	RHOAB_DANRE	rhoab	193	Danio rerio	1:Experimental evidence at protein level	Rho-related GTP-binding protein RhoA-B	1.0	0.999	15	7	7	88	7	7	88	1.32880934E9	
sp|Q6DHN0|TMM53_DANRE	Q6DHN0	TMM53_DANRE	tmem53	281	Danio rerio	2:Experimental evidence at transcript level	Transmembrane protein 53	1.0	0.999	6	19	19	19	19	19	19	4.4832358E9	
sp|Q6DHN3|TM2D2_DANRE	Q6DHN3	TM2D2_DANRE	tm2d2	229	Danio rerio	2:Experimental evidence at transcript level	TM2 domain-containing protein 2	0.5657	0.9534	2	2	2	2	2	2	2	1.15509005E9	
sp|Q6DHP6|NARF_DANRE	Q6DHP6	NARF_DANRE	narf	465	Danio rerio	2:Experimental evidence at transcript level	Nuclear prelamin A recognition factor	1.0	0.999	7	10	10	10	10	10	10	1.6038583E9	
sp|Q6DHQ1|HVCN1_DANRE	Q6DHQ1	HVCN1_DANRE	hvcn1	235	Danio rerio	2:Experimental evidence at transcript level	Voltage-gated hydrogen channel 1	1.0	0.9958	3	5	5	5	5	5	5	7.6611258E8	
sp|Q6DHR8|NGBR_DANRE	Q6DHR8	NGBR_DANRE	nus1	274	Danio rerio	2:Experimental evidence at transcript level	Dehydrodolichyl diphosphate synthase complex subunit nus1	1.0	0.9989	5	5	5	5	5	5	5	9.8829331E8	
sp|Q6DHU1|CLP1L_DANRE	Q6DHU1	CLP1L_DANRE	clptm1l	538	Danio rerio	2:Experimental evidence at transcript level	Lipid scramblase CLPTM1L	1.0	0.999	15	41	41	41	41	41	41	1.15726756E10	
sp|Q6DHU4|PR38A_DANRE	Q6DHU4	PR38A_DANRE	prpf38a	313	Danio rerio	2:Experimental evidence at transcript level	Pre-mRNA-splicing factor 38A	1.0	0.9987	6	9	9	9	9	9	9	1.31936806E9	
sp|Q6DHU8|TOPK_DANRE	Q6DHU8	TOPK_DANRE	pbk	339	Danio rerio	2:Experimental evidence at transcript level	Lymphokine-activated killer T-cell-originated protein kinase homolog	1.0	0.999	22	71	71	71	71	71	71	1.86653594E10	
sp|Q6DI05|SUMO3_DANRE	Q6DI05	SUMO3_DANRE	sumo3	94	Danio rerio	3:Protein inferred from homology	Small ubiquitin-related modifier 3	1.0	0.9989	5	50	0	50	50	0	50	7.451254E10	sp|Q6NV25|SMO3L_DANRE
sp|Q6DI06|TIM10_DANRE	Q6DI06	TIM10_DANRE	timm10	88	Danio rerio	3:Protein inferred from homology	Mitochondrial import inner membrane translocase subunit Tim10	1.0	0.999	11	164	164	164	164	164	164	8.9833882E10	
sp|Q6DI35|TFP11_DANRE	Q6DI35	TFP11_DANRE	tfip11	832	Danio rerio	1:Experimental evidence at protein level	Tuftelin-interacting protein 11	1.0	0.999	31	47	47	47	47	47	47	6.1259781E9	
sp|Q6DI37|UBCP1_DANRE	Q6DI37	UBCP1_DANRE	ublcp1	318	Danio rerio	2:Experimental evidence at transcript level	Ubiquitin-like domain-containing CTD phosphatase 1	1.0	0.999	17	56	56	56	56	56	56	1.76727327E10	
sp|Q6DI40|TTC33_DANRE	Q6DI40	TTC33_DANRE	ttc33	268	Danio rerio	2:Experimental evidence at transcript level	Tetratricopeptide repeat protein 33	1.0	0.999	7	18	18	18	18	18	18	2.10742694E9	
sp|Q6DI51|NDK6_DANRE	Q6DI51	NDK6_DANRE	nme6	175	Danio rerio	2:Experimental evidence at transcript level	Nucleoside diphosphate kinase 6	1.0	0.999	8	31	31	31	31	31	31	6.0574756E9	
sp|Q6DRB1|GLE1_DANRE	Q6DRB1	GLE1_DANRE	gle1	695	Danio rerio	2:Experimental evidence at transcript level	mRNA export factor GLE1	1.0	0.999	21	39	39	39	39	39	39	5.9438868E9	
sp|Q6DRC0|SYSC_DANRE	Q6DRC0	SYSC_DANRE	sars1	515	Danio rerio	1:Experimental evidence at protein level	Serine--tRNA ligase, cytoplasmic	1.0	0.999	48	397	397	397	397	397	397	2.41253614E11	
sp|Q6DRC3|CF298_DANRE	Q6DRC3	CF298_DANRE	cfap298	290	Danio rerio	1:Experimental evidence at protein level	Cilia- and flagella-associated protein 298	0.9231	0.9969	2	2	2	2	2	2	2	2.08633856E8	
sp|Q6DRC4|EIF3G_DANRE	Q6DRC4	EIF3G_DANRE	eif3g	293	Danio rerio	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit G	1.0	0.999	27	152	152	152	152	152	152	8.5478531E10	
sp|Q6DRD3|DPOLB_DANRE	Q6DRD3	DPOLB_DANRE	polb	336	Danio rerio	2:Experimental evidence at transcript level	DNA polymerase beta	1.0	0.999	15	25	25	25	25	25	25	5.9048187E9	
sp|Q6DRD4|CENPL_DANRE	Q6DRD4	CENPL_DANRE	cenpl	367	Danio rerio	2:Experimental evidence at transcript level	Centromere protein L	1.0	0.999	3	4	4	4	4	4	4	4.81675488E8	
sp|Q6DRD9|ABHDB_DANRE	Q6DRD9	ABHDB_DANRE	abhd11	317	Danio rerio	2:Experimental evidence at transcript level	sn-1-specific diacylglycerol lipase ABHD11	0.9898	0.9868	5	4	4	7	4	4	7	1.94273628E10	
sp|Q6DRF3|PSB1_DANRE	Q6DRF3	PSB1_DANRE	psmb1	237	Danio rerio	2:Experimental evidence at transcript level	Proteasome subunit beta type-1	1.0	0.999	17	187	187	187	187	187	187	2.41585488E11	
sp|Q6DRF9|WDR55_DANRE	Q6DRF9	WDR55_DANRE	wdr55	387	Danio rerio	2:Experimental evidence at transcript level	WD repeat-containing protein 55	1.0	0.999	6	10	10	10	10	10	10	9.3144013E8	
sp|Q6DRG1|RBM42_DANRE	Q6DRG1	RBM42_DANRE	rbm42	402	Danio rerio	2:Experimental evidence at transcript level	RNA-binding protein 42	1.0	0.999	8	15	15	15	15	15	15	2.10101453E9	
sp|Q6DRG7|MYPT1_DANRE	Q6DRG7	MYPT1_DANRE	ppp1r12a	1049	Danio rerio	2:Experimental evidence at transcript level	Protein phosphatase 1 regulatory subunit 12A	1.0	0.999	26	48	48	48	48	48	48	5.5003602E9	
sp|Q6DRH5|NOP10_DANRE	Q6DRH5	NOP10_DANRE	nop10	64	Danio rerio	3:Protein inferred from homology	H/ACA ribonucleoprotein complex subunit 3	1.0	0.9988	5	11	11	11	11	11	11	2.27187379E9	
sp|Q6DRI1|EI3EA_DANRE	Q6DRI1	EI3EA_DANRE	eif3ea	446	Danio rerio	2:Experimental evidence at transcript level	Eukaryotic translation initiation factor 3 subunit E-A	1.0	0.999	31	182	94	182	182	94	182	8.7552811E10	
sp|Q6DRI4|RPAC2_DANRE	Q6DRI4	RPAC2_DANRE	polr1d	112	Danio rerio	3:Protein inferred from homology	DNA-directed RNA polymerases I and III subunit RPAC2	1.0	0.999	7	22	22	22	22	22	22	4.8868634E9	
sp|Q6DRI7|DDX51_DANRE	Q6DRI7	DDX51_DANRE	ddx51	652	Danio rerio	2:Experimental evidence at transcript level	ATP-dependent RNA helicase DDX51	1.0	0.999	14	24	24	24	24	24	24	2.14628378E9	
sp|Q6DRJ4|KRI1_DANRE	Q6DRJ4	KRI1_DANRE	kri1	765	Danio rerio	2:Experimental evidence at transcript level	Protein KRI1 homolog	1.0	0.999	9	12	12	12	12	12	12	5.2941839E9	
sp|Q6DRJ7|NDC80_DANRE	Q6DRJ7	NDC80_DANRE	ndc80	632	Danio rerio	2:Experimental evidence at transcript level	Kinetochore protein NDC80 homolog	1.0	0.999	20	45	45	45	45	45	45	1.53660109E10	
sp|Q6DRJ9|RIC8B_DANRE	Q6DRJ9	RIC8B_DANRE	ric8b	536	Danio rerio	2:Experimental evidence at transcript level	Synembryn-B	1.0	0.999	17	32	32	32	32	32	32	5.4912645E9	
sp|Q6DRL4|TICRR_DANRE	Q6DRL4	TICRR_DANRE	ticrr	1824	Danio rerio	2:Experimental evidence at transcript level	Treslin	1.0	0.9917	6	6	6	6	6	6	6	3.204608E8	
sp|Q6DRL5|MBB1A_DANRE	Q6DRL5	MBB1A_DANRE	mybbp1a	1269	Danio rerio	1:Experimental evidence at protein level	Myb-binding protein 1A-like protein	1.0	0.999	39	82	82	82	82	82	82	1.76226509E10	
sp|Q6DRL8|MD19B_DANRE	Q6DRL8	MD19B_DANRE	med19b	240	Danio rerio	2:Experimental evidence at transcript level	Mediator of RNA polymerase II transcription subunit 19-B	0.3672	0.9517	2	1	1	4	1	1	4	1.79368352E8	
sp|Q6DRM0|GET1_DANRE	Q6DRM0	GET1_DANRE	get1	170	Danio rerio	2:Experimental evidence at transcript level	Guided entry of tail-anchored proteins factor 1	1.0	0.9989	3	6	6	6	6	6	6	5.877825E9	
sp|Q6DRN3|NOC3L_DANRE	Q6DRN3	NOC3L_DANRE	noc3l	800	Danio rerio	2:Experimental evidence at transcript level	Nucleolar complex protein 3 homolog	1.0	0.9989	13	18	18	18	18	18	18	4.6630036E9	
sp|Q6DRP2|GNL3_DANRE	Q6DRP2	GNL3_DANRE	gnl3	561	Danio rerio	2:Experimental evidence at transcript level	Guanine nucleotide-binding protein-like 3	1.0	0.999	19	37	37	37	37	37	37	9.3841889E9	
sp|Q6E2N3|TRI33_DANRE	Q6E2N3	TRI33_DANRE	trim33	1163	Danio rerio	2:Experimental evidence at transcript level	E3 ubiquitin-protein ligase TRIM33	1.0	0.999	28	42	42	42	42	42	42	5.2357048E9	
sp|Q6EJB7|SOX3_DANRE	Q6EJB7	SOX3_DANRE	sox3	300	Danio rerio	1:Experimental evidence at protein level	Transcription factor Sox-3	1.0	0.999	12	16	10	24	16	10	24	4.3269806E9	
sp|Q6EWH2|FYNA_DANRE	Q6EWH2	FYNA_DANRE	fyna	537	Danio rerio	1:Experimental evidence at protein level	Tyrosine-protein kinase fyna	0.9927	0.9984	11	3	3	24	3	3	24	2.74242528E8	
sp|Q6GMF8|RHDF1_DANRE	Q6GMF8	RHDF1_DANRE	rhbdf1	857	Danio rerio	2:Experimental evidence at transcript level	Inactive rhomboid protein 1	1.0	0.999	8	10	10	10	10	10	10	4.27071456E8	
sp|Q6GMG5|IMDH1_DANRE	Q6GMG5	IMDH1_DANRE	impdh1a	544	Danio rerio	2:Experimental evidence at transcript level	Inosine-5'-monophosphate dehydrogenase 1a	1.0	0.9985	22	4	4	46	4	4	46	2.93040512E8	
sp|Q6GMG6|S5A3B_DANRE	Q6GMG6	S5A3B_DANRE	slc52a3b	452	Danio rerio	2:Experimental evidence at transcript level	Solute carrier family 52, riboflavin transporter, member 3-B	0.3844	0.955	1	2	2	2	2	2	2	2.34815488E9	
sp|Q6GMH0|PRP18_DANRE	Q6GMH0	PRP18_DANRE	prpf18	342	Danio rerio	2:Experimental evidence at transcript level	Pre-mRNA-splicing factor 18	1.0	0.999	17	34	34	34	34	34	34	5.7653606E9	
sp|Q6GMH3|TWF2_DANRE	Q6GMH3	TWF2_DANRE	twf2	347	Danio rerio	2:Experimental evidence at transcript level	Twinfilin-2	0.9956	0.9821	4	7	7	7	7	7	7	3.35592371E9	
sp|Q6GMI0|HTR1A_DANRE	Q6GMI0	HTR1A_DANRE	htra1a	479	Danio rerio	2:Experimental evidence at transcript level	Serine protease HTRA1A	0.9996	0.9988	2	8	1	8	8	1	8	1.6121687E9	
sp|Q6GMI7|ENOPH_DANRE	Q6GMI7	ENOPH_DANRE	enoph1	261	Danio rerio	2:Experimental evidence at transcript level	Enolase-phosphatase E1	1.0	0.999	17	53	53	53	53	53	53	1.49425838E10	
sp|Q6GMI9|UXS1_DANRE	Q6GMI9	UXS1_DANRE	uxs1	418	Danio rerio	1:Experimental evidence at protein level	UDP-glucuronic acid decarboxylase 1	1.0	0.999	8	12	12	12	12	12	12	3.81690266E9	
sp|Q6GMK0|MGT4B_DANRE	Q6GMK0	MGT4B_DANRE	mgat4bQ9UQ53	547	Danio rerio	2:Experimental evidence at transcript level	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B	1.0	0.999	14	24	24	24	24	24	24	5.0793789E9	
sp|Q6GMK7|SH3L2_DANRE	Q6GMK7	SH3L2_DANRE	sh3bgrl2	105	Danio rerio	3:Protein inferred from homology	SH3 domain-binding glutamic acid-rich-like protein 2	1.0	0.9989	2	5	5	5	5	5	5	2.18441376E8	
sp|Q6GMK8|GMPAA_DANRE	Q6GMK8	GMPAA_DANRE	gmppaa	422	Danio rerio	2:Experimental evidence at transcript level	Mannose-1-phosphate guanylyltransferase regulatory subunit alpha-A	1.0	0.999	13	31	19	31	31	19	31	2.01156792E10	
sp|Q6GML7|TATD1_DANRE	Q6GML7	TATD1_DANRE	tatdn1	298	Danio rerio	1:Experimental evidence at protein level	Deoxyribonuclease TATDN1	1.0	0.999	19	65	65	65	65	65	65	3.8621143E10	
sp|Q6GQN0|CEP41_DANRE	Q6GQN0	CEP41_DANRE	cep41	374	Danio rerio	2:Experimental evidence at transcript level	Centrosomal protein of 41 kDa	1.0	0.9976	5	8	8	8	8	8	8	5.3726323E8	
sp|Q6GQN7|RABEK_DANRE	Q6GQN7	RABEK_DANRE	rabepk	351	Danio rerio	2:Experimental evidence at transcript level	Rab9 effector protein with kelch motifs	1.0	0.9986	6	10	10	10	10	10	10	4.55344608E8	
sp|Q6GQN8|MECR_DANRE	Q6GQN8	MECR_DANRE	mecr	377	Danio rerio	2:Experimental evidence at transcript level	Enoyl-[acyl-carrier-protein] reductase, mitochondrial	1.0	0.999	26	146	146	146	146	146	146	6.0483813E10	
sp|Q6IMK3|DJC27_DANRE	Q6IMK3	DJC27_DANRE	dnajc27	273	Danio rerio	2:Experimental evidence at transcript level	DnaJ homolog subfamily C member 27	0.9964	0.9794	3	9	9	9	9	9	9	3.90253536E8	
sp|Q6IQ63|MED6_DANRE	Q6IQ63	MED6_DANRE	med6	254	Danio rerio	2:Experimental evidence at transcript level	Mediator of RNA polymerase II transcription subunit 6	1.0	0.9965	5	9	9	9	9	9	9	2.20122342E9	
sp|Q6IQ73|CHM4C_DANRE	Q6IQ73	CHM4C_DANRE	chmp4c	224	Danio rerio	2:Experimental evidence at transcript level	Charged multivesicular body protein 4c	1.0	0.999	17	79	63	79	79	63	79	1.09235315E11	
sp|Q6IQ85|YIPF6_DANRE	Q6IQ85	YIPF6_DANRE	yipf6	240	Danio rerio	2:Experimental evidence at transcript level	Protein YIPF6	1.0	0.997	1	13	13	13	13	13	13	1.63797875E9	
sp|Q6IQ86|BRK1_DANRE	Q6IQ86	BRK1_DANRE	brk1	75	Danio rerio	3:Protein inferred from homology	Probable protein BRICK1	1.0	0.9989	7	24	24	24	24	24	24	5.0855045E9	
sp|Q6IQ97|RBM41_DANRE	Q6IQ97	RBM41_DANRE	rbm4.1	419	Danio rerio	1:Experimental evidence at protein level	RNA-binding protein 4.1	1.0	0.999	18	51	51	51	51	51	51	1.00218399E10	
sp|Q6IQA2|LYSM3_DANRE	Q6IQA2	LYSM3_DANRE	lysmd3	305	Danio rerio	2:Experimental evidence at transcript level	LysM and putative peptidoglycan-binding domain-containing protein 3	0.9998	0.9975	3	3	3	3	3	3	3	2.66940624E8	
sp|Q6IQC7|TMX2B_DANRE	Q6IQC7	TMX2B_DANRE	tmx2b	307	Danio rerio	2:Experimental evidence at transcript level	Thioredoxin-related transmembrane protein 2-B	1.0	0.999	9	21	21	21	21	21	21	1.04680079E10	
sp|Q6IQE0|PU60B_DANRE	Q6IQE0	PU60B_DANRE	puf60b	516	Danio rerio	2:Experimental evidence at transcript level	Poly(U)-binding-splicing factor PUF60-B	1.0	0.999	28	133	133	133	133	133	133	4.639026E10	
sp|Q6IQE1|PI42C_DANRE	Q6IQE1	PI42C_DANRE	pip4k2c	416	Danio rerio	2:Experimental evidence at transcript level	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma	1.0	0.999	17	54	54	54	54	54	54	2.57752289E10	
sp|Q6IQE5|GET3_DANRE	Q6IQE5	GET3_DANRE	get3	341	Danio rerio	1:Experimental evidence at protein level	ATPase GET3	1.0	0.999	18	87	87	87	87	87	87	3.28171274E10	
sp|Q6IQM2|CYC_DANRE	Q6IQM2	CYC_DANRE	cyc	104	Danio rerio	3:Protein inferred from homology	Cytochrome c	1.0	0.999	10	159	129	159	159	129	159	1.66208389E11	
sp|Q6IQP3|CALUA_DANRE	Q6IQP3	CALUA_DANRE	calua	315	Danio rerio	2:Experimental evidence at transcript level	Calumenin-A	1.0	0.999	20	86	86	90	86	86	90	3.03056978E10	
sp|Q6IQS6|SAE1_DANRE	Q6IQS6	SAE1_DANRE	sae1	348	Danio rerio	2:Experimental evidence at transcript level	SUMO-activating enzyme subunit 1	1.0	0.999	27	188	188	188	188	188	188	1.245928E11	
sp|Q6IQS9|RM23_DANRE	Q6IQS9	RM23_DANRE	mrpl23	153	Danio rerio	2:Experimental evidence at transcript level	Large ribosomal subunit protein uL23m	1.0	0.999	12	57	57	57	57	57	57	3.9487328E10	
sp|Q6IQT4|CSN2_DANRE	Q6IQT4	CSN2_DANRE	cops2	443	Danio rerio	2:Experimental evidence at transcript level	COP9 signalosome complex subunit 2	1.0	0.999	28	90	90	90	90	90	90	2.91647283E10	
sp|Q6IQU4|CWC15_DANRE	Q6IQU4	CWC15_DANRE	cwc15	243	Danio rerio	2:Experimental evidence at transcript level	Protein CWC15 homolog	1.0	0.9989	9	19	19	19	19	19	19	5.1789527E9	
sp|Q6IQU6|RPF1_DANRE	Q6IQU6	RPF1_DANRE	rpf1	330	Danio rerio	2:Experimental evidence at transcript level	Ribosome production factor 1	1.0	0.9983	4	5	5	5	5	5	5	4.68337248E8	
sp|Q6IQU7|INT12_DANRE	Q6IQU7	INT12_DANRE	ints12	479	Danio rerio	2:Experimental evidence at transcript level	Integrator complex subunit 12	1.0	0.9985	9	12	12	12	12	12	12	1.43475021E9	
sp|Q6IQX0|KD5BB_DANRE	Q6IQX0	KD5BB_DANRE	kdm5bb	1503	Danio rerio	2:Experimental evidence at transcript level	Lysine-specific demethylase 5B-B	1.0	0.999	5	8	8	8	8	8	8	5.06256736E8	
sp|Q6IV56|RN141_DANRE	Q6IV56	RN141_DANRE	rnf141	222	Danio rerio	2:Experimental evidence at transcript level	RING finger protein 141	1.0	0.999	6	10	10	10	10	10	10	2.13439206E9	
sp|Q6IWL4|TRAF6_DANRE	Q6IWL4	TRAF6_DANRE	traf6	542	Danio rerio	1:Experimental evidence at protein level	TNF receptor-associated factor 6	0.9368	0.9944	2	4	4	4	4	4	4	1.44277216E8	
sp|Q6KFX9|RFNG_DANRE	Q6KFX9	RFNG_DANRE	rfng	362	Danio rerio	2:Experimental evidence at transcript level	Beta-1,3-N-acetylglucosaminyltransferase radical fringe	0.9983	0.9868	5	5	5	5	5	5	5	1.0892372E8	
sp|Q6L8F3|S39A6_DANRE	Q6L8F3	S39A6_DANRE	slc39a6	742	Danio rerio	2:Experimental evidence at transcript level	Zinc transporter ZIP6	0.9938	0.9894	3	3	3	3	3	3	3	1.06902368E8	
sp|Q6NSM8|SIK3_DANRE	Q6NSM8	SIK3_DANRE	zgc:66101	1187	Danio rerio	2:Experimental evidence at transcript level	Serine/threonine-protein kinase SIK3 homolog	0.9938	0.9982	2	2	2	2	2	2	2	8.9079232E7	
sp|Q6NSN1|LS12B_DANRE	Q6NSN1	LS12B_DANRE	lsm12b	196	Danio rerio	2:Experimental evidence at transcript level	Protein LSM12 homolog B	1.0	0.999	5	10	10	19	10	10	19	2.81915725E9	
sp|Q6NSN2|AOF_DANRE	Q6NSN2	AOF_DANRE	mao	522	Danio rerio	1:Experimental evidence at protein level	Amine oxidase [flavin-containing]	1.0	0.999	16	28	28	28	28	28	28	6.4194734E9	
sp|Q6NSN5|PURA1_DANRE	Q6NSN5	PURA1_DANRE	adss1	456	Danio rerio	1:Experimental evidence at protein level	Adenylosuccinate synthetase isozyme 1	1.0	0.999	6	6	5	6	6	5	6	3.42694592E8	
sp|Q6NUT7|SORT1_DANRE	Q6NUT7	SORT1_DANRE	sort1	814	Danio rerio	2:Experimental evidence at transcript level	Sortilin	1.0	0.9989	8	11	11	11	11	11	11	1.5638432E9	
sp|Q6NUV0|RB3GP_DANRE	Q6NUV0	RB3GP_DANRE	rab3gap1	969	Danio rerio	2:Experimental evidence at transcript level	Rab3 GTPase-activating protein catalytic subunit	1.0	0.999	26	54	54	54	54	54	54	4.916054E9	
sp|Q6NUW5|AN32E_DANRE	Q6NUW5	AN32E_DANRE	anp32e	250	Danio rerio	1:Experimental evidence at protein level	Acidic leucine-rich nuclear phosphoprotein 32 family member E	1.0	0.999	11	122	122	122	122	122	122	7.7053444E10	
sp|Q6NUW9|FGGY_DANRE	Q6NUW9	FGGY_DANRE	fggy	545	Danio rerio	2:Experimental evidence at transcript level	FGGY carbohydrate kinase domain-containing protein	1.0	0.999	15	26	26	26	26	26	26	4.27858227E9	
sp|Q6NUX8|RHOAA_DANRE	Q6NUX8	RHOAA_DANRE	rhoaa	193	Danio rerio	1:Experimental evidence at protein level	Rho-related GTP-binding protein RhoA-A	1.0	0.999	15	15	0	97	15	0	97	4.5016929E9	sp|Q7T2E8|RHOAC_DANRE
sp|Q6NUZ2|TTY2L_DANRE	Q6NUZ2	TTY2L_DANRE	ttyh2l	531	Danio rerio	2:Experimental evidence at transcript level	Protein tweety homolog 2-like	0.9991	0.9888	4	12	12	12	12	12	12	1.61058637E9	
sp|Q6NV04|HACL2_DANRE	Q6NV04	HACL2_DANRE	ilvbl	621	Danio rerio	2:Experimental evidence at transcript level	2-hydroxyacyl-CoA lyase 2	1.0	0.999	32	219	219	219	219	219	219	8.5032985E10	
sp|Q6NV18|NHEJ1_DANRE	Q6NV18	NHEJ1_DANRE	nhej1	309	Danio rerio	2:Experimental evidence at transcript level	Non-homologous end-joining factor 1	1.0	0.999	7	11	11	11	11	11	11	1.3793376E9	
sp|Q6NV24|PXL2B_DANRE	Q6NV24	PXL2B_DANRE	prxl2b	201	Danio rerio	2:Experimental evidence at transcript level	Prostamide/prostaglandin F synthase	1.0	0.999	14	154	154	154	154	154	154	8.3093225E10	
sp|Q6NV26|SDA1_DANRE	Q6NV26	SDA1_DANRE	sdad1	682	Danio rerio	2:Experimental evidence at transcript level	Protein SDA1 homolog	1.0	0.9986	8	15	15	15	15	15	15	1.77834304E9	
sp|Q6NV31|WDR82_DANRE	Q6NV31	WDR82_DANRE	wdr82	313	Danio rerio	2:Experimental evidence at transcript level	WD repeat-containing protein 82	1.0	0.999	18	36	36	36	36	36	36	1.16035891E10	
sp|Q6NV34|DECR2_DANRE	Q6NV34	DECR2_DANRE	decr2	300	Danio rerio	2:Experimental evidence at transcript level	Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]	1.0	0.999	18	59	59	59	59	59	59	9.3698632E9	
sp|Q6NVC5|MIRO1_DANRE	Q6NVC5	MIRO1_DANRE	rhot1a	619	Danio rerio	2:Experimental evidence at transcript level	Mitochondrial Rho GTPase 1-A	1.0	0.999	29	87	87	91	87	87	91	3.05685545E10	
sp|Q6NVC9|JMY_DANRE	Q6NVC9	JMY_DANRE	jmy	846	Danio rerio	2:Experimental evidence at transcript level	Junction-mediating and -regulatory protein	0.8367	0.9943	1	1	1	1	1	1	1	5745022.5	
sp|Q6NVJ5|DI2BA_DANRE	Q6NVJ5	DI2BA_DANRE	dip2ba	1577	Danio rerio	2:Experimental evidence at transcript level	Disco-interacting protein 2 homolog B-A	1.0	0.999	23	33	33	33	33	33	33	3.58262042E9	
sp|Q6NW58|SPAST_DANRE	Q6NW58	SPAST_DANRE	spast	570	Danio rerio	2:Experimental evidence at transcript level	Spastin	1.0	0.999	28	55	55	55	55	55	55	1.29914071E10	
sp|Q6NW76|AURKB_DANRE	Q6NW76	AURKB_DANRE	aurkb	320	Danio rerio	2:Experimental evidence at transcript level	Aurora kinase B	1.0	0.999	18	68	68	68	68	68	68	1.79377213E10	
sp|Q6NW85|ARI1L_DANRE	Q6NW85	ARI1L_DANRE	arih1l	533	Danio rerio	2:Experimental evidence at transcript level	E3 ubiquitin-protein ligase arih1l	1.0	0.999	16	31	4	31	31	4	31	6.650967E9	
sp|Q6NWA8|TADA1_DANRE	Q6NWA8	TADA1_DANRE	tada1	332	Danio rerio	2:Experimental evidence at transcript level	Transcriptional adapter 1	1.0	0.999	7	12	12	12	12	12	12	1.86328474E9	
sp|Q6NWC6|CPSF6_DANRE	Q6NWC6	CPSF6_DANRE	cpsf6	545	Danio rerio	2:Experimental evidence at transcript level	Cleavage and polyadenylation specificity factor subunit 6	1.0	0.999	19	64	64	64	64	64	64	1.21241395E10	
sp|Q6NWC9|GKAP1_DANRE	Q6NWC9	GKAP1_DANRE	gkap1	368	Danio rerio	2:Experimental evidence at transcript level	G kinase-anchoring protein 1	1.0	0.999	28	83	83	83	83	83	83	3.6264997E10	
sp|Q6NWD4|TIM50_DANRE	Q6NWD4	TIM50_DANRE	timm50	387	Danio rerio	2:Experimental evidence at transcript level	Mitochondrial import inner membrane translocase subunit TIM50	1.0	0.999	19	93	93	93	93	93	93	5.2979196E10	
sp|Q6NWE0|CK054_DANRE	Q6NWE0	CK054_DANRE	zgc:85789	319	Danio rerio	2:Experimental evidence at transcript level	Ester hydrolase C11orf54 homolog	1.0	0.999	17	67	67	67	67	67	67	1.38800036E10	
sp|Q6NWE1|PHF10_DANRE	Q6NWE1	PHF10_DANRE	phf10	490	Danio rerio	2:Experimental evidence at transcript level	PHD finger protein 10	1.0	0.999	16	25	25	25	25	25	25	4.4145812E9	
sp|Q6NWF1|GTR12_DANRE	Q6NWF1	GTR12_DANRE	slc2a12	610	Danio rerio	2:Experimental evidence at transcript level	Solute carrier family 2, facilitated glucose transporter member 12	0.9998	0.9965	5	9	9	9	9	9	9	1.7500617E9	
sp|Q6NWF4|VPS25_DANRE	Q6NWF4	VPS25_DANRE	vps25	174	Danio rerio	2:Experimental evidence at transcript level	Vacuolar protein-sorting-associated protein 25	1.0	0.999	12	41	41	41	41	41	41	9.021781E9	
sp|Q6NWF6|K2C8_DANRE	Q6NWF6	K2C8_DANRE	krt8	520	Danio rerio	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 8	1.0	0.999	48	363	344	363	363	344	363	2.74773393E11	
sp|Q6NWG0|TSN36_DANRE	Q6NWG0	TSN36_DANRE	tspan36	243	Danio rerio	1:Experimental evidence at protein level	Tetraspanin-36	1.0	0.9989	4	11	11	11	11	11	11	8.8450447E9	
sp|Q6NWG1|LRC59_DANRE	Q6NWG1	LRC59_DANRE	lrrc59	314	Danio rerio	2:Experimental evidence at transcript level	Leucine-rich repeat-containing protein 59	1.0	0.999	24	243	243	243	243	243	243	2.02246636E11	
sp|Q6NWG4|ANM6_DANRE	Q6NWG4	ANM6_DANRE	prmt6	349	Danio rerio	2:Experimental evidence at transcript level	Protein arginine N-methyltransferase 6	1.0	0.999	14	35	35	35	35	35	35	6.5118848E9	
