Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	TL1a Spectral Count	TL1b Spectral Count	TL2a Spectral Count	TL2b Spectral Count	TL1a Unique Spectral Count	TL1b Unique Spectral Count	TL2a Unique Spectral Count	TL2b Unique Spectral Count	TL1a Total Spectral Count	TL1b Total Spectral Count	TL2a Total Spectral Count	TL2b Total Spectral Count	TL1a Intensity	TL1b Intensity	TL2a Intensity	TL2b Intensity	TL1a MaxLFQ Intensity	TL1b MaxLFQ Intensity	TL2a MaxLFQ Intensity	TL2b MaxLFQ Intensity	Indistinguishable Proteins
sp|Q0E671|NEUAA_DANRE	Q0E671	NEUAA_DANRE	cmasa	430	Danio rerio	1:Experimental evidence at protein level	N-acylneuraminate cytidylyltransferase A	0.9967	0.999	1	4	4	4	1	2	0	1	1	2	0	1	1	2	0	1	5.577324E7	3.9915888E7	0.0	0.0	5.577324E7	3.9915888E7	0.0	0.0	
sp|Q0IIP8|CRP_DANRE	Q0IIP8	CRP_DANRE	crp	225	Danio rerio	1:Experimental evidence at protein level	C-reactive protein	0.9973	0.9916	2	9	9	9	2	2	3	2	2	2	3	2	2	2	3	2	4.5261348E7	5.730638E7	8.5033304E7	1.16822664E8	4.5261348E7	5.730638E7	8.5033304E7	1.16822664E8	
sp|Q0P3Z2|PTER_DANRE	Q0P3Z2	PTER_DANRE	pter	349	Danio rerio	2:Experimental evidence at transcript level	Phosphotriesterase-related protein	1.0	0.999	4	10	10	10	1	2	6	1	1	2	6	1	1	2	6	1	2.8721932E7	2.8223742E7	2.5229736E8	0.0	2.8721932E7	2.8223742E7	0.0	0.0	
sp|Q0P442|RNKB_DANRE	Q0P442	RNKB_DANRE	rnasekb	101	Danio rerio	3:Protein inferred from homology	Ribonuclease kappa-B	0.9433	0.999	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	8.3458352E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q0P487|NB5R2_DANRE	Q0P487	NB5R2_DANRE	cyb5r2	309	Danio rerio	2:Experimental evidence at transcript level	NADH-cytochrome b5 reductase 2	0.3936	0.9742	1	2	2	2	0	0	1	1	0	0	1	1	0	0	1	1	4.42923104E8	0.0	8.2980141E8	7.2537862E8	4.42923104E8	0.0	8.2980141E8	7.2537862E8	
sp|Q0P4F7|ACSF2_DANRE	Q0P4F7	ACSF2_DANRE	acsf2	606	Danio rerio	2:Experimental evidence at transcript level	Medium-chain acyl-CoA ligase ACSF2, mitochondrial	1.0	0.9989	6	14	14	14	7	5	1	1	7	5	1	1	7	5	1	1	5.8164224E8	4.98970336E8	0.0	0.0	1.89170256E8	2.2843504E8	0.0	0.0	
sp|Q0VIL3|OTOMP_DANRE	Q0VIL3	OTOMP_DANRE	otomp	371	Danio rerio	2:Experimental evidence at transcript level	Otolith matrix protein 1	0.9447	0.999	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0.0	4.0929796E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q1ECZ4|CASC3_DANRE	Q1ECZ4	CASC3_DANRE	casc3	754	Danio rerio	1:Experimental evidence at protein level	Protein CASC3	0.5227	0.956	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	5.7546349E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q1JPX3|SYFA_DANRE	Q1JPX3	SYFA_DANRE	farsa	497	Danio rerio	2:Experimental evidence at transcript level	Phenylalanine--tRNA ligase alpha subunit	1.0	0.999	14	80	80	80	20	22	21	17	20	22	21	17	20	22	21	17	2.33920205E9	2.13534746E9	1.95651789E9	2.47619021E9	4.90347136E8	3.56446464E8	3.1638544E8	4.0418416E8	
sp|Q1JPY5|CYP51_DANRE	Q1JPY5	CYP51_DANRE	cyp51	499	Danio rerio	1:Experimental evidence at protein level	Lanosterol 14-alpha demethylase	0.9983	0.9988	2	7	7	7	0	2	4	1	0	2	4	1	0	2	4	1	0.0	2.52413024E8	2.92142624E8	3.91764896E8	0.0	3.54989344E8	3.2787008E8	1.96459424E8	
sp|Q1JPY8|PSPC1_DANRE	Q1JPY8	PSPC1_DANRE	pspc1	512	Danio rerio	2:Experimental evidence at transcript level	Paraspeckle component 1	0.9965	0.9896	2	6	6	6	1	2	3	0	1	2	3	0	1	2	3	0	0.0	8.1660531E8	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q1JPZ7|PRP39_DANRE	Q1JPZ7	PRP39_DANRE	prpf39	752	Danio rerio	2:Experimental evidence at transcript level	Pre-mRNA-processing factor 39	1.0	0.999	16	61	61	61	13	23	9	16	13	23	9	16	13	23	9	16	2.03702605E9	2.33964314E9	1.32284096E9	2.71989402E9	4.463224E8	3.7419312E8	3.12029536E8	5.3781242E8	
sp|Q1L673|VDRB_DANRE	Q1L673	VDRB_DANRE	vdrb	422	Danio rerio	2:Experimental evidence at transcript level	Vitamin D3 receptor B	0.9927	0.9976	1	5	0	5	1	1	1	2	0	0	0	0	1	1	1	2	2.59909616E8	1.52499536E8	0.0	0.0	2.59909616E8	1.52499536E8	0.0	0.0	
sp|Q1L864|JGN1B_DANRE	Q1L864	JGN1B_DANRE	jagn1b	183	Danio rerio	3:Protein inferred from homology	Protein jagunal homolog 1-B	0.4477	0.9792	1	2	2	2	0	1	1	0	0	1	1	0	0	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q1L8F4|T178B_DANRE	Q1L8F4	T178B_DANRE	tmem178b	294	Danio rerio	2:Experimental evidence at transcript level	Transmembrane protein 178B	0.9421	0.9989	1	4	4	4	1	0	1	2	1	0	1	2	1	0	1	2	4.0268048E7	0.0	6.0349308E7	6.379354E7	4.0268048E7	0.0	6.0349308E7	6.379354E7	
sp|Q1L8L9|KAD2_DANRE	Q1L8L9	KAD2_DANRE	ak2	241	Danio rerio	2:Experimental evidence at transcript level	Adenylate kinase 2, mitochondrial	1.0	0.999	5	29	29	29	9	13	4	3	9	13	4	3	9	13	4	3	8.3029542E8	8.2151411E8	4.63856544E8	2.33843872E8	4.45787008E8	4.05614272E8	2.53515376E8	3.38740864E8	
sp|Q1L8P7|TSP3B_DANRE	Q1L8P7	TSP3B_DANRE	thbs3b	929	Danio rerio	3:Protein inferred from homology	Thrombospondin-3b	0.738	0.9824	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1.4123156E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q1L8Y7|SHOC2_DANRE	Q1L8Y7	SHOC2_DANRE	shoc2	561	Danio rerio	2:Experimental evidence at transcript level	Leucine-rich repeat protein SHOC-2	1.0	0.9987	3	4	4	4	2	0	1	1	2	0	1	1	2	0	1	1	5.33086368E8	2.90716608E8	2.43714784E8	4.43838848E8	2.93168256E8	1.55108576E8	1.80946112E8	2.00077232E8	
sp|Q1LUK1|MIC13_DANRE	Q1LUK1	MIC13_DANRE	micos13	111	Danio rerio	3:Protein inferred from homology	MICOS complex subunit MIC13	0.869	0.9974	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q1LUT1|EDC4_DANRE	Q1LUT1	EDC4_DANRE	edc4	1384	Danio rerio	3:Protein inferred from homology	Enhancer of mRNA-decapping protein 4	1.0	0.9988	3	4	4	4	0	1	3	0	0	1	3	0	0	1	3	0	0.0	0.0	1.86138544E8	0.0	0.0	0.0	0.0	0.0	
sp|Q1LVE8|SF3B3_DANRE	Q1LVE8	SF3B3_DANRE	sf3b3	1217	Danio rerio	2:Experimental evidence at transcript level	Splicing factor 3B subunit 3	1.0	0.999	11	39	39	39	11	13	6	9	11	13	6	9	11	13	6	9	6.6385592E9	7.4795971E9	1.08675763E9	1.77831962E9	1.75307981E9	1.67436032E9	1.94230234E9	2.98315341E9	
sp|Q1LVF0|LAMC1_DANRE	Q1LVF0	LAMC1_DANRE	lamc1	1593	Danio rerio	2:Experimental evidence at transcript level	Laminin subunit gamma-1	1.0	0.999	11	52	52	52	12	13	12	15	12	13	12	15	12	13	12	15	6.1233139E8	6.8183488E8	1.09251008E9	1.66221862E9	1.92550576E8	2.6462768E8	3.4401504E8	4.39066144E8	
sp|Q1LXC9|INT3_DANRE	Q1LXC9	INT3_DANRE	ints3	1017	Danio rerio	2:Experimental evidence at transcript level	Integrator complex subunit 3	0.9996	0.999	1	3	3	3	0	1	2	0	0	1	2	0	0	1	2	0	0.0	2.9106334E7	3.0978824E7	0.0	0.0	2.9106334E7	3.0978824E7	0.0	
sp|Q1LXS2|PSMG2_DANRE	Q1LXS2	PSMG2_DANRE	psmg2	260	Danio rerio	2:Experimental evidence at transcript level	Proteasome assembly chaperone 2	0.36	0.9704	1	2	2	2	0	1	1	0	0	1	1	0	0	1	1	0	0.0	0.0	7501122.5	0.0	0.0	0.0	0.0	0.0	
sp|Q1LY51|ZN704_DANRE	Q1LY51	ZN704_DANRE	znf704	501	Danio rerio	3:Protein inferred from homology	Zinc finger protein 704	0.3338	0.9668	1	3	3	3	0	0	1	2	0	0	1	2	0	0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q1MTD3|MCES_DANRE	Q1MTD3	MCES_DANRE	rnmt	400	Danio rerio	3:Protein inferred from homology	mRNA cap guanine-N7 methyltransferase	1.0	0.999	3	13	13	13	5	6	1	1	5	6	1	1	5	6	1	1	4.60640128E8	6.3373734E8	7.9815968E7	3.61330528E8	2.41408768E8	3.32230656E8	9.1383032E7	3.49310656E8	
sp|Q1MTI4|TPISA_DANRE	Q1MTI4	TPISA_DANRE	tpi1a	248	Danio rerio	2:Experimental evidence at transcript level	Triosephosphate isomerase A	1.0	0.999	11	30	30	72	9	10	6	5	9	10	6	5	24	21	14	13	8.3043264E8	6.568519E8	4.18765664E8	4.08821888E8	2.65047856E8	2.23414688E8	2.02810928E8	2.6075736E8	
sp|Q1RLX4|TPC11_DANRE	Q1RLX4	TPC11_DANRE	trappc11	1132	Danio rerio	2:Experimental evidence at transcript level	Trafficking protein particle complex subunit 11	0.9198	0.9985	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0.0	0.0	2.2720054E7	0.0	0.0	0.0	0.0	0.0	
sp|Q1RLY6|KMO_DANRE	Q1RLY6	KMO_DANRE	kmo	474	Danio rerio	2:Experimental evidence at transcript level	Kynurenine 3-monooxygenase	0.9428	0.999	1	2	2	2	1	1	0	0	1	1	0	0	1	1	0	0	0.0	1.31835088E8	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q1RM09|BASP1_DANRE	Q1RM09	BASP1_DANRE	basp1	197	Danio rerio	2:Experimental evidence at transcript level	Brain acid soluble protein 1 homolog	1.0	0.999	4	27	27	27	7	7	8	5	7	7	8	5	7	7	8	5	3.33541504E8	2.46418256E8	2.94342528E8	1.94162592E8	8.3246512E7	7.2589424E7	1.23444872E8	1.3796144E8	
sp|Q32LQ4|BHMT1_DANRE	Q32LQ4	BHMT1_DANRE	bhmt	400	Danio rerio	2:Experimental evidence at transcript level	Betaine--homocysteine S-methyltransferase 1	1.0	0.999	23	243	243	243	45	57	89	52	45	57	89	52	45	57	89	52	2.35519529E10	2.12146278E10	3.8580433E10	2.3632724E10	7.3905597E9	6.5002286E9	1.41896243E10	7.2244091E9	
sp|Q32LU7|PTCD3_DANRE	Q32LU7	PTCD3_DANRE	ptcd3	667	Danio rerio	2:Experimental evidence at transcript level	Small ribosomal subunit protein mS39	1.0	0.999	5	6	6	6	0	1	4	1	0	1	4	1	0	1	4	1	0.0	1.05646168E8	2.96418336E8	5.4106268E7	0.0	1.05797832E8	9.0332328E7	9.0594896E7	
sp|Q32PL1|PP1R7_DANRE	Q32PL1	PP1R7_DANRE	ppp1r7	345	Danio rerio	2:Experimental evidence at transcript level	Protein phosphatase 1 regulatory subunit 7	1.0	0.999	8	11	11	11	3	3	5	0	3	3	5	0	3	3	5	0	1.43031488E8	8.8922816E7	7.9588973E8	0.0	5.4149368E7	5.11087E7	9.3782374E8	0.0	
sp|Q3B752|KTHY_DANRE	Q3B752	KTHY_DANRE	dtymk	212	Danio rerio	2:Experimental evidence at transcript level	Thymidylate kinase	0.9898	0.9968	1	2	2	2	1	1	0	0	1	1	0	0	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q3B7H1|GALD1_DANRE	Q3B7H1	GALD1_DANRE	gatd1	213	Danio rerio	2:Experimental evidence at transcript level	Glutamine amidotransferase-like class 1 domain-containing protein 1	0.9357	0.9988	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0.0	0.0	1.1101132E8	0.0	0.0	0.0	0.0	0.0	
sp|Q49HM9|GRK7A_DANRE	Q49HM9	GRK7A_DANRE	grk7a	549	Danio rerio	1:Experimental evidence at protein level	Rhodopsin kinase grk7a	1.0	0.999	25	124	124	124	35	44	20	25	35	44	20	25	35	44	20	25	8.1510692E9	7.385132E9	6.2520315E9	8.1152184E9	1.06462918E9	9.1914086E8	7.9417485E8	9.9269971E8	
sp|Q4H4B6|SCRIB_DANRE	Q4H4B6	SCRIB_DANRE	scrib	1724	Danio rerio	1:Experimental evidence at protein level	Protein scribble homolog	0.942	0.9989	1	2	2	2	0	1	1	0	0	1	1	0	0	1	1	0	8.6429336E7	7.9622112E7	5.0334876E7	0.0	8.6429336E7	7.9622112E7	5.0334876E7	0.0	
sp|Q4KM14|TSP1L_DANRE	Q4KM14	TSP1L_DANRE	trnau1apl	316	Danio rerio	2:Experimental evidence at transcript level	tRNA selenocysteine 1-associated protein 1-like	1.0	0.999	3	5	5	5	2	2	0	1	2	2	0	1	2	2	0	1	3.13397824E8	1.75133792E8	0.0	1.2207832E8	1.78599664E8	1.33323176E8	0.0	2.76729312E8	
sp|Q4KMC8|ALDCA_DANRE	Q4KMC8	ALDCA_DANRE	aldoca	364	Danio rerio	2:Experimental evidence at transcript level	Fructose-bisphosphate aldolase C-A	0.9544	0.9897	4	1	1	117	1	0	0	0	1	0	0	0	23	35	33	26	1.87973216E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q4QRJ7|EIF2A_DANRE	Q4QRJ7	EIF2A_DANRE	eif2a	580	Danio rerio	2:Experimental evidence at transcript level	Eukaryotic translation initiation factor 2A	1.0	0.999	6	24	24	24	8	6	7	3	8	6	7	3	8	6	7	3	2.25020698E9	2.08388147E9	2.05189184E9	3.15739469E9	1.66253645E9	1.2301783E9	1.33184115E9	1.3713993E9	
sp|Q4QRK0|MAP11_DANRE	Q4QRK0	MAP11_DANRE	metap1	386	Danio rerio	2:Experimental evidence at transcript level	Methionine aminopeptidase 1	0.9961	0.9983	2	12	12	12	3	2	4	3	3	2	4	3	3	2	4	3	3.8218128E8	3.8957008E8	6.5214611E8	3.4239712E8	1.89178336E8	2.19112656E8	3.62897056E8	3.94297344E8	
sp|Q4TVV3|DDX46_DANRE	Q4TVV3	DDX46_DANRE	ddx46	1018	Danio rerio	2:Experimental evidence at transcript level	Probable ATP-dependent RNA helicase DDX46	1.0	0.9858	4	8	8	8	1	1	4	2	1	1	4	2	1	1	4	2	0.0	2.82406912E9	2.55067366E9	0.0	0.0	2.82406912E9	2.5104151E9	0.0	
sp|Q4U0S5|PAF1_DANRE	Q4U0S5	PAF1_DANRE	paf1	503	Danio rerio	1:Experimental evidence at protein level	RNA polymerase II-associated factor 1 homolog	0.9999	0.999	2	18	18	18	6	4	5	3	6	4	5	3	6	4	5	3	2.58305904E8	2.16097312E8	1.81195184E8	1.5519136E8	1.87071008E8	1.54667376E8	9.910812E7	1.03468016E8	
sp|Q4V8X4|ACBD6_DANRE	Q4V8X4	ACBD6_DANRE	acbd6	300	Danio rerio	2:Experimental evidence at transcript level	Acyl-CoA-binding domain-containing protein 6	0.7393	0.994	1	2	2	2	0	1	0	1	0	1	0	1	0	1	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q4VBT1|FA1B1_DANRE	Q4VBT1	FA1B1_DANRE	fabp1b.1	128	Danio rerio	2:Experimental evidence at transcript level	Fatty acid binding protein 1-B.1	1.0	0.999	4	87	87	87	23	22	23	19	23	22	23	19	23	22	23	19	1.13695578E9	1.55491994E9	1.24643034E9	1.82916237E9	7.5687354E8	1.13172749E9	7.9054022E8	1.32911437E9	
sp|Q4VBV9|NIT2_DANRE	Q4VBV9	NIT2_DANRE	nit2	277	Danio rerio	2:Experimental evidence at transcript level	Omega-amidase NIT2	1.0	0.999	5	20	20	20	9	5	3	3	9	5	3	3	9	5	3	3	7.8901517E8	7.0265914E8	6.0150566E8	8.3585542E8	5.31978016E8	5.5916032E8	6.0150566E8	5.9053427E8	
sp|Q502D1|GLOD5_DANRE	Q502D1	GLOD5_DANRE	glod5	163	Danio rerio	2:Experimental evidence at transcript level	Glyoxalase domain-containing protein 5	0.9438	0.999	1	3	3	3	1	1	1	0	1	1	1	0	1	1	1	0	0.0	0.0	9.5220208E7	0.0	0.0	0.0	0.0	0.0	
sp|Q503C8|NUDC1_DANRE	Q503C8	NUDC1_DANRE	nudcd1	585	Danio rerio	2:Experimental evidence at transcript level	NudC domain-containing protein 1	1.0	0.9985	4	7	7	7	1	1	4	1	1	1	4	1	1	1	4	1	0.0	0.0	1.19867584E8	1.50632208E8	0.0	0.0	0.0	0.0	
sp|Q503E9|IMA6_DANRE	Q503E9	IMA6_DANRE	kpna5	539	Danio rerio	2:Experimental evidence at transcript level	Importin subunit alpha-6	1.0	0.999	3	9	9	9	1	3	4	1	1	3	4	1	1	3	4	1	1.83829376E8	1.88456064E8	1.21039096E8	1.08699384E8	1.83829376E8	1.1657376E8	7.9622352E7	1.08699384E8	
sp|Q503I8|NGLY1_DANRE	Q503I8	NGLY1_DANRE	ngly1	644	Danio rerio	2:Experimental evidence at transcript level	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase	0.9862	0.9887	3	5	5	5	0	1	2	2	0	1	2	2	0	1	2	2	0.0	0.0	7575055.0	0.0	0.0	0.0	0.0	0.0	
sp|Q503L9|NXN_DANRE	Q503L9	NXN_DANRE	nxn	418	Danio rerio	2:Experimental evidence at transcript level	Nucleoredoxin	0.8463	0.9969	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0.0	0.0	3.7035672E7	0.0	0.0	0.0	0.0	0.0	
sp|Q504A5|TPMT_DANRE	Q504A5	TPMT_DANRE	tpmt	232	Danio rerio	2:Experimental evidence at transcript level	Probable thiopurine S-methyltransferase	0.3936	0.9742	1	6	6	6	2	2	1	1	2	2	1	1	2	2	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q504J1|CASPB_DANRE	Q504J1	CASPB_DANRE	caspb	404	Danio rerio	1:Experimental evidence at protein level	Caspase b	1.0	0.999	7	32	28	32	7	12	7	6	6	10	6	6	7	12	7	6	5.9174861E8	1.23704768E9	7.7192998E8	4.5523232E8	2.79446272E8	4.95662912E8	3.79923424E8	2.4609024E8	
sp|Q52PJ5|DPYL3_DANRE	Q52PJ5	DPYL3_DANRE	dpysl3	567	Danio rerio	2:Experimental evidence at transcript level	Dihydropyrimidinase-related protein 3	1.0	0.999	28	376	376	376	80	108	84	104	80	108	84	104	80	108	84	104	2.36636713E10	2.62139085E10	2.40017859E10	2.96055624E10	4.4789596E9	4.7879777E9	3.99217869E9	5.6393185E9	
sp|Q561X9|DHRS6_DANRE	Q561X9	DHRS6_DANRE	bdh2	245	Danio rerio	2:Experimental evidence at transcript level	Dehydrogenase/reductase SDR family member 6	0.9412	0.9989	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1.19130216E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q566Y8|MGN_DANRE	Q566Y8	MGN_DANRE	magoh	147	Danio rerio	2:Experimental evidence at transcript level	Protein mago nashi homolog	1.0	0.999	2	3	3	3	1	0	2	0	1	0	2	0	1	0	2	0	1.53814576E8	0.0	5.951824E8	0.0	0.0	0.0	0.0	0.0	
sp|Q567B1|OTU1_DANRE	Q567B1	OTU1_DANRE	yod1	301	Danio rerio	2:Experimental evidence at transcript level	Ubiquitin thioesterase OTU1	0.9998	0.998	2	3	3	3	1	2	0	0	1	2	0	0	1	2	0	0	0.0	1.5486064E8	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q567V6|EIF3K_DANRE	Q567V6	EIF3K_DANRE	eif3k	219	Danio rerio	2:Experimental evidence at transcript level	Eukaryotic translation initiation factor 3 subunit K	1.0	0.999	4	8	8	8	3	3	1	1	3	3	1	1	3	3	1	1	6.4778624E8	6.6685894E8	0.0	1.4138776E8	3.27334048E8	3.0845632E8	0.0	0.0	
sp|Q568F6|PURA2_DANRE	Q568F6	PURA2_DANRE	adss2	455	Danio rerio	2:Experimental evidence at transcript level	Adenylosuccinate synthetase isozyme 2	1.0	0.999	21	144	144	173	37	33	44	30	37	33	44	30	44	40	56	33	4.8696714E9	4.601771E9	7.0147942E9	6.94142E9	8.9890771E8	7.4621946E8	1.03940038E9	9.787975E8	
sp|Q568K2|PP1RB_DANRE	Q568K2	PP1RB_DANRE	ppp1r11	122	Danio rerio	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase PPP1R11	0.9415	0.9989	1	6	6	6	2	2	1	1	2	2	1	1	2	2	1	1	6.2666707E8	0.0	4.31259616E8	0.0	6.2666707E8	0.0	4.31259616E8	0.0	
sp|Q568M3|CRLF3_DANRE	Q568M3	CRLF3_DANRE	crlf3	444	Danio rerio	2:Experimental evidence at transcript level	Cytokine receptor-like factor 3	0.9969	0.999	1	3	3	3	1	1	1	0	1	1	1	0	1	1	1	0	6.3593356E7	1.04507536E8	4.990652E7	0.0	6.3593356E7	1.04507536E8	4.990652E7	0.0	
sp|Q568T4|HIKES_DANRE	Q568T4	HIKES_DANRE	hikeshi	197	Danio rerio	2:Experimental evidence at transcript level	Protein Hikeshi	0.9431	0.999	1	2	2	2	1	0	0	1	1	0	0	1	1	0	0	1	7.444868E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q568V3|FBX50_DANRE	Q568V3	FBX50_DANRE	nccrp1	237	Danio rerio	2:Experimental evidence at transcript level	F-box only protein 50	1.0	0.999	2	8	8	8	1	2	2	3	1	2	2	3	1	2	2	3	3.6363376E8	4.30398272E8	1.25932544E9	1.06854106E9	3.65523456E8	2.45370928E8	6.997031E8	5.995129E8	
sp|Q568W0|SELW_DANRE	Q568W0	SELW_DANRE	selenow	86	Danio rerio	3:Protein inferred from homology	Selenoprotein W	0.9765	0.9918	1	2	2	2	1	0	0	1	1	0	0	1	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q56A35|ARP2B_DANRE	Q56A35	ARP2B_DANRE	actr2b	394	Danio rerio	2:Experimental evidence at transcript level	Actin-related protein 2-B	1.0	0.999	6	35	0	35	8	9	12	6	0	0	0	0	8	9	12	6	1.98000282E9	2.82682803E9	2.08150438E9	1.11376563E9	6.639968E8	9.0699181E8	1.070536E9	1.28951872E9	sp|Q7SXW6|ARP2A_DANRE
sp|Q56A55|MITOS_DANRE	Q56A55	MITOS_DANRE	abcb8	714	Danio rerio	2:Experimental evidence at transcript level	Mitochondrial potassium channel ATP-binding subunit	1.0	0.9979	3	4	4	4	1	1	2	0	1	1	2	0	1	1	2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q58EB4|HIBCH_DANRE	Q58EB4	HIBCH_DANRE	hibch	382	Danio rerio	2:Experimental evidence at transcript level	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial	0.9449	0.999	1	9	9	9	3	2	3	1	3	2	3	1	3	2	3	1	2.17552528E8	2.06602592E8	3.1674352E8	1.30221256E8	2.17552528E8	2.06602592E8	3.1674352E8	1.30221256E8	
sp|Q58EE9|GFAP_DANRE	Q58EE9	GFAP_DANRE	gfap	444	Danio rerio	1:Experimental evidence at protein level	Glial fibrillary acidic protein	1.0	0.9989	11	38	23	126	10	10	10	8	6	7	7	3	29	31	34	32	3.59387546E9	3.14443238E9	2.711392E9	3.32766464E9	2.7919657E9	2.92926925E9	2.39334502E9	2.13025818E9	
sp|Q58EG2|ERLN1_DANRE	Q58EG2	ERLN1_DANRE	erlin1	342	Danio rerio	2:Experimental evidence at transcript level	Erlin-1	1.0	0.9988	2	4	4	4	1	3	0	0	1	3	0	0	1	3	0	0	1.06007544E8	4.2691776E8	0.0	0.0	1.06007544E8	2.22875136E8	0.0	0.0	
sp|Q5BJA5|H2B1_DANRE	Q5BJA5	H2B1_DANRE	zgc:112234	124	Danio rerio	2:Experimental evidence at transcript level	Histone H2B 1/2	1.0	0.9986	4	50	0	50	14	13	12	11	0	0	0	0	14	13	12	11	4.06662656E9	3.47976602E9	7.1740582E8	9.1026982E8	1.35014771E9	1.75112358E9	6.7320922E8	8.4319546E8	sp|Q6PC60|H2B3_DANRE
sp|Q5BJC2|KISHA_DANRE	Q5BJC2	KISHA_DANRE	tmem167a	72	Danio rerio	3:Protein inferred from homology	Protein kish-A	0.8391	0.9967	1	2	2	2	0	2	0	0	0	2	0	0	0	2	0	0	0.0	3.710766E7	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q5BJI9|SPCS2_DANRE	Q5BJI9	SPCS2_DANRE	spcs2	201	Danio rerio	2:Experimental evidence at transcript level	Signal peptidase complex subunit 2	0.9809	0.9673	2	3	3	3	1	2	0	0	1	2	0	0	1	2	0	0	1.50569056E8	2.06441312E8	0.0	0.0	1.50569056E8	1.71730192E8	0.0	0.0	
sp|Q5BLE8|RETST_DANRE	Q5BLE8	RETST_DANRE	retsat	607	Danio rerio	1:Experimental evidence at protein level	All-trans-retinol 13,14-reductase	1.0	0.999	12	45	45	45	5	17	6	17	5	17	6	17	5	17	6	17	7.8070182E8	1.2478944E9	4.54954368E8	1.88399014E9	2.4671776E8	2.97609248E8	2.11942608E8	4.0193056E8	
sp|Q5BLF0|NMD3_DANRE	Q5BLF0	NMD3_DANRE	nmd3	505	Danio rerio	2:Experimental evidence at transcript level	60S ribosomal export protein NMD3	0.3198	0.9647	1	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q5CZR5|AEP1_DANRE	Q5CZR5	AEP1_DANRE	aep1	315	Danio rerio	1:Experimental evidence at protein level	Aerolysin-like protein	1.0	0.999	10	120	120	120	30	32	23	35	30	32	23	35	30	32	23	35	8.8993423E9	1.41382963E10	1.2849577E10	7.6655908E9	3.55842048E9	5.5939651E9	3.73446195E9	5.7474698E9	
sp|Q5CZV0|TM182_DANRE	Q5CZV0	TM182_DANRE	tmem182a	248	Danio rerio	2:Experimental evidence at transcript level	Transmembrane protein 182	0.9992	0.9967	1	13	13	13	4	3	4	2	4	3	4	2	4	3	4	2	9.1982867E8	8.2343994E8	1.18140378E9	1.47039245E9	8.066855E8	8.2343994E8	1.18140378E9	1.47039245E9	
sp|Q5D018|RBM8A_DANRE	Q5D018	RBM8A_DANRE	rbm8a	174	Danio rerio	2:Experimental evidence at transcript level	RNA-binding protein 8A	0.9979	0.999	2	4	4	4	2	0	2	0	2	0	2	0	2	0	2	0	1.38158976E8	0.0	1.47478688E8	0.0	1.38158976E8	0.0	1.47478688E8	0.0	
