Protein,Protein ID,Entry Name,Gene,Protein Length,Organism,Protein Existence,Description,Protein Probability,Top Peptide Probability,Combined Total Peptides,Combined Spectral Count,Combined Unique Spectral Count,Combined Total Spectral Count,170928_MW_1 Spectral Count,170928_MW_2 Spectral Count,170928_MW_3 Spectral Count,170928_MW_4 Spectral Count,170928_MW_5 Spectral Count,170928_MW_6 Spectral Count,170928_MW_1 Unique Spectral Count,170928_MW_2 Unique Spectral Count,170928_MW_3 Unique Spectral Count,170928_MW_4 Unique Spectral Count,170928_MW_5 Unique Spectral Count,170928_MW_6 Unique Spectral Count,170928_MW_1 Total Spectral Count,170928_MW_2 Total Spectral Count,170928_MW_3 Total Spectral Count,170928_MW_4 Total Spectral Count,170928_MW_5 Total Spectral Count,170928_MW_6 Total Spectral Count,170928_MW_1_6dpf_Intensity,170928_MW_2_6dpf_Intensity,170928_MW_3_6dpf_Intensity,170928_MW_4_6dpf_Intensity,170928_MW_5_6dpf_Intensity,170928_MW_6_6dpf_Intensity,170928_MW_1 MaxLFQ_6dpf_Intensity,170928_MW_2 MaxLFQ_6dpf_Intensity,170928_MW_3 MaxLFQ_6dpf_Intensity,170928_MW_4 MaxLFQ_6dpf_Intensity,170928_MW_5 MaxLFQ_6dpf_Intensity,170928_MW_6 MaxLFQ_6dpf_Intensity,Indistinguishable Proteins
sp|Q32PL1|PP1R7_DANRE,Q32PL1,PP1R7_DANRE,ppp1r7,345,Danio rerio,2:Experimental evidence at transcript level,Protein phosphatase 1 regulatory subunit 7,1,0.999,4,15,15,15,1,2,2,3,4,3,1,2,2,3,4,3,1,2,2,3,4,3,5108128.5,54624444,24363136,11526760,64980196,36874528,9345786,16540667,15713167,13781307,25070762,25799884,
sp|Q3ZB90|KBTBC_DANRE,Q3ZB90,KBTBC_DANRE,kbtbd12,623,Danio rerio,2:Experimental evidence at transcript level,Kelch repeat and BTB domain-containing protein 12,0.5022,0.9738,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,129701192,0,0,0,0,0,0,0,0,
sp|Q49HM9|GRK7A_DANRE,Q49HM9,GRK7A_DANRE,grk7a,549,Danio rerio,1:Experimental evidence at protein level,Rhodopsin kinase grk7a,1,0.999,8,31,31,31,7,5,5,4,5,5,7,5,5,4,5,5,7,5,5,4,5,5,312242272,313496128,216277664,180581600,169282240,257483360,112095704,136126192,93480848,176962192,72147792,125710592,
sp|Q4H4B6|SCRIB_DANRE,Q4H4B6,SCRIB_DANRE,scrib,1724,Danio rerio,1:Experimental evidence at protein level,Protein scribble homolog,1,0.9986,3,4,4,4,0,2,0,0,1,1,0,2,0,0,1,1,0,2,0,0,1,1,0,127893704,0,0,0,16768446,0,126773216,0,0,0,16768446,
sp|Q4KMD7|STPAP_DANRE,Q4KMD7,STPAP_DANRE,tut1,797,Danio rerio,2:Experimental evidence at transcript level,Speckle targeted PIP5K1A-regulated poly(A) polymerase,0.9526,0.9987,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8045400,0,0,0,0,0,0,0,0,0,0,
sp|Q4KME6|GGYF2_DANRE,Q4KME6,GGYF2_DANRE,gigyf2,1329,Danio rerio,2:Experimental evidence at transcript level,GRB10-interacting GYF protein 2,0.5425,0.9776,1,2,2,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q4QRF4|H32_DANRE,Q4QRF4,H32_DANRE,zgc:113984,136,Danio rerio,2:Experimental evidence at transcript level,Histone H3.2,1,0.9989,5,12,0,12,3,3,3,1,2,0,0,0,0,0,0,0,3,3,3,1,2,0,839289540,1229874690,1349481730,580225220,1457226110,397764608,429261472,416409632,534753344,316288352,502082176,305738048,sp|Q6PI20|H33_DANRE
sp|Q4QRJ7|EIF2A_DANRE,Q4QRJ7,EIF2A_DANRE,eif2a,580,Danio rerio,2:Experimental evidence at transcript level,Eukaryotic translation initiation factor 2A,0.9999,0.9979,2,8,8,8,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,3,75705016,95878064,66789064,99576216,59513160,122434320,75705016,83328160,66789064,99576216,59513160,108927512,
sp|Q4QRK0|MAP11_DANRE,Q4QRK0,MAP11_DANRE,metap1,386,Danio rerio,2:Experimental evidence at transcript level,Methionine aminopeptidase 1,0.9945,0.9498,3,4,4,4,0,2,0,1,1,0,0,2,0,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q4TVV3|DDX46_DANRE,Q4TVV3,DDX46_DANRE,ddx46,1018,Danio rerio,2:Experimental evidence at transcript level,Probable ATP-dependent RNA helicase DDX46,0.985,0.9929,1,4,4,4,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,4372192.5,0,0,6440760,1410412.6,0,4372192.5,0,0,6440760,1410412.6,0,
sp|Q4U0S5|PAF1_DANRE,Q4U0S5,PAF1_DANRE,paf1,503,Danio rerio,1:Experimental evidence at protein level,RNA polymerase II-associated factor 1 homolog,1,0.9989,3,8,8,8,1,2,0,2,1,2,1,2,0,2,1,2,1,2,0,2,1,2,0,58514536,0,35415464,3384294.5,12554294,0,35488868,0,24422152,3457517.2,12825919,
sp|Q4V8V2|NUD17_DANRE,Q4V8V2,NUD17_DANRE,nudt17,300,Danio rerio,2:Experimental evidence at transcript level,Nucleoside diphosphate-linked moiety X motif 17,0.9657,0.9806,2,2,2,2,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,66857104,73551216,0,0,0,73551232,66857104,73551216,0,0,0,73551232,
sp|Q4VBI7|STX18_DANRE,Q4VBI7,STX18_DANRE,stx18,314,Danio rerio,2:Experimental evidence at transcript level,Syntaxin-18,0.6388,0.9849,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q4VBV9|NIT2_DANRE,Q4VBV9,NIT2_DANRE,nit2,277,Danio rerio,2:Experimental evidence at transcript level,Omega-amidase NIT2,1,0.9976,5,11,11,11,3,2,2,0,2,2,3,2,2,0,2,2,3,2,2,0,2,2,14100260,0,0,0,0,0,0,0,0,0,0,0,
sp|Q502L2|PGAM5_DANRE,Q502L2,PGAM5_DANRE,pgam5,289,Danio rerio,2:Experimental evidence at transcript level,"Serine/threonine-protein phosphatase PGAM5, mitochondrial",1,0.999,5,13,13,13,2,3,2,1,4,1,2,3,2,1,4,1,2,3,2,1,4,1,45224016,39934364,9157892,21450152,54811348,10676642,24085370,14713014,7728310.5,25236306,39930788,12561170,
sp|Q503E9|IMA6_DANRE,Q503E9,IMA6_DANRE,kpna5,539,Danio rerio,2:Experimental evidence at transcript level,Importin subunit alpha-6,0.9986,0.9986,2,4,4,4,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,35018616,20540524,0,0,26169122,0,35018616,20540524,0,0,26169122,
sp|Q503I8|NGLY1_DANRE,Q503I8,NGLY1_DANRE,ngly1,644,Danio rerio,2:Experimental evidence at transcript level,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,1,0.998,4,9,9,9,1,2,0,2,2,2,1,2,0,2,2,2,1,2,0,2,2,2,0,338941408,0,343069856,316276896,339977088,0,307903680,0,363534880,303631648,338088544,
sp|Q503L9|NXN_DANRE,Q503L9,NXN_DANRE,nxn,418,Danio rerio,2:Experimental evidence at transcript level,Nucleoredoxin,0.9631,0.999,1,6,6,6,1,1,2,0,1,1,1,1,2,0,1,1,1,1,2,0,1,1,3170072,3225760,0,30565496,5682825,0,3170072,3225760,0,30565496,5682825,0,
sp|Q52KL1|FITM2_DANRE,Q52KL1,FITM2_DANRE,fitm2,252,Danio rerio,2:Experimental evidence at transcript level,Acyl-coenzyme A diphosphatase FITM2,0.8967,0.9969,1,2,2,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q52PJ5|DPYL3_DANRE,Q52PJ5,DPYL3_DANRE,dpysl3,567,Danio rerio,2:Experimental evidence at transcript level,Dihydropyrimidinase-related protein 3,1,0.999,24,179,179,179,21,30,29,34,31,34,21,30,29,34,31,34,21,30,29,34,31,34,2892816130,3639991550,3098201860,5088913400,3001856260,3179452930,496579840,614611580,585150340,782986500,565968260,588724480,
sp|Q567B1|OTU1_DANRE,Q567B1,OTU1_DANRE,yod1,301,Danio rerio,2:Experimental evidence at transcript level,Ubiquitin thioesterase OTU1,1,0.999,3,12,12,12,4,0,1,1,3,3,4,0,1,1,3,3,4,0,1,1,3,3,30740710,0,0,11965224,57988832,5336939,28448728,0,0,11965224,57643568,5336939,
sp|Q567V6|EIF3K_DANRE,Q567V6,EIF3K_DANRE,eif3k,219,Danio rerio,2:Experimental evidence at transcript level,Eukaryotic translation initiation factor 3 subunit K,1,0.999,2,6,6,6,1,3,2,0,0,0,1,3,2,0,0,0,1,3,2,0,0,0,0,22015456,53697004,0,0,0,0,22015456,36169760,0,0,0,
sp|Q568F6|PURA2_DANRE,Q568F6,PURA2_DANRE,adss2,455,Danio rerio,2:Experimental evidence at transcript level,Adenylosuccinate synthetase isozyme 2,1,0.999,3,6,6,6,0,1,0,1,2,2,0,1,0,1,2,2,0,1,0,1,2,2,0,7568738.5,0,4801291,19716858,17516364,0,7568738.5,0,4801291,19716858,17516364,
sp|Q568L5|A1A1B_DANRE,Q568L5,A1A1B_DANRE,akr1a1b,324,Danio rerio,2:Experimental evidence at transcript level,Aldo-keto reductase family 1 member A1-B,1,0.9989,5,13,13,13,2,3,3,0,3,2,2,3,3,0,3,2,2,3,3,0,3,2,6133596.5,119709168,68116552,0,39255428,119631024,12423779,39885932,33327756,0,54521332,64593580,
sp|Q56A55|MITOS_DANRE,Q56A55,MITOS_DANRE,abcb8,714,Danio rerio,2:Experimental evidence at transcript level,Mitochondrial potassium channel ATP-binding subunit,0.999,0.9976,2,9,9,9,2,2,2,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q58EB4|HIBCH_DANRE,Q58EB4,HIBCH_DANRE,hibch,382,Danio rerio,2:Experimental evidence at transcript level,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",1,0.999,4,10,10,10,1,2,1,1,4,1,1,2,1,1,4,1,1,2,1,1,4,1,6329252.5,8368952,23100794,34969184,54755264,24644158,8050863,10645378,29384406,44481100,11928896,31347578,
sp|Q58EE9|GFAP_DANRE,Q58EE9,GFAP_DANRE,gfap,444,Danio rerio,1:Experimental evidence at protein level,Glial fibrillary acidic protein,1,0.999,17,65,55,72,7,15,8,12,9,14,6,13,6,10,8,12,9,17,8,12,11,15,760355520,1252317700,1065881730,850189250,1088837380,1095094270,459909472,612072960,699946690,425447040,556693500,571410110,
sp|Q58EG2|ERLN1_DANRE,Q58EG2,ERLN1_DANRE,erlin1,342,Danio rerio,2:Experimental evidence at transcript level,Erlin-1,1,0.999,5,13,7,13,0,5,1,2,2,3,0,2,1,2,1,1,0,5,1,2,2,3,0,87709184,19968482,117714504,49426932,58686056,0,54015524,25814856,41442628,43282568,37844500,
sp|Q5BJA5|H2B1_DANRE,Q5BJA5,H2B1_DANRE,zgc:112234,124,Danio rerio,2:Experimental evidence at transcript level,Histone H2B 1/2,1,0.999,4,45,0,45,8,9,6,7,7,8,0,0,0,0,0,0,8,9,6,7,7,8,664356540,950807100,675647420,725526140,854936130,680799360,540629440,575362940,891950270,355121632,549098750,409936352,sp|Q6PC60|H2B3_DANRE
sp|Q5BJJ6|MAT2B_DANRE,Q5BJJ6,MAT2B_DANRE,mat2b,323,Danio rerio,2:Experimental evidence at transcript level,Methionine adenosyltransferase 2 subunit beta,0.9993,0.9978,2,3,3,3,1,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,2,9506721,0,0,0,0,0,0,0,0,0,0,0,
sp|Q5BJJ7|BCCIP_DANRE,Q5BJJ7,BCCIP_DANRE,bccip,301,Danio rerio,2:Experimental evidence at transcript level,Protein BCCIP homolog,0.8598,0.9956,1,3,3,3,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,31233036,5850553.5,0,0,0,0,31233036,5850553.5,0,
sp|Q5BLE8|RETST_DANRE,Q5BLE8,RETST_DANRE,retsat,607,Danio rerio,1:Experimental evidence at protein level,"All-trans-retinol 13,14-reductase",1,0.9988,8,21,21,21,4,3,3,5,2,4,4,3,3,5,2,4,4,3,3,5,2,4,58004400,82228712,4694832,45215132,35739948,78744240,35167920,45138836,8238504.5,34695860,33438484,48263132,
sp|Q5CZR5|AEP1_DANRE,Q5CZR5,AEP1_DANRE,aep1,315,Danio rerio,1:Experimental evidence at protein level,Aerolysin-like protein,0.9973,0.9989,1,4,4,4,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,29970102,54000528,17149658,0,48466232,0,29970102,54000528,17149658,0,48466232,0,
sp|Q5CZV0|TM182_DANRE,Q5CZV0,TM182_DANRE,tmem182a,248,Danio rerio,2:Experimental evidence at transcript level,Transmembrane protein 182,0.8972,0.9969,1,3,3,3,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,38068660,23607910,0,55695452,0,0,38068660,23607910,0,55695452,0,
sp|Q5GIT4|VGFR2_DANRE,Q5GIT4,VGFR2_DANRE,kdr,1357,Danio rerio,1:Experimental evidence at protein level,Vascular endothelial growth factor receptor 2,0,0.9971,1,5,0,5,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,133895616,182048192,153713920,159182160,133811544,167585248,133895616,182048192,153713920,159182160,133811544,167585248,
sp|Q5I0F6|KAP0_DANRE,Q5I0F6,KAP0_DANRE,prkar1aa,379,Danio rerio,1:Experimental evidence at protein level,cAMP-dependent protein kinase type I-alpha regulatory subunit,1,0.999,7,27,27,27,3,5,6,4,5,4,3,5,6,4,5,4,3,5,6,4,5,4,147398336,210206032,192903536,187314880,0,45782512,369854464,106043752,103234776,117462232,0,30414802,
sp|Q5MJ86|G3P2_DANRE,Q5MJ86,G3P2_DANRE,gapdh-2,335,Danio rerio,2:Experimental evidence at transcript level,Glyceraldehyde-3-phosphate dehydrogenase 2,1,0.999,17,190,190,231,32,31,33,28,34,32,32,31,33,28,34,32,38,38,40,36,41,38,6263362000,7206625300,7212612600,7186381800,8729878500,8176184300,2174203900,2325266430,2362165760,2378740740,3038812420,2564475900,
sp|Q5PQY6|LONP2_DANRE,Q5PQY6,LONP2_DANRE,lonp2,840,Danio rerio,2:Experimental evidence at transcript level,"Lon protease homolog 2, peroxisomal",0.9887,0.9898,2,3,3,3,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,26465154,0,0,0,0,0,0,0,
sp|Q5PQZ3|ZNT9_DANRE,Q5PQZ3,ZNT9_DANRE,slc30a9,573,Danio rerio,2:Experimental evidence at transcript level,"Proton-coupled zinc antiporter SLC30A9, mitochondrial",0.9382,0.9982,1,4,4,4,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q5PR98|NDRG2_DANRE,Q5PR98,NDRG2_DANRE,ndrg2,368,Danio rerio,2:Experimental evidence at transcript level,Protein NDRG2,1,0.999,11,73,73,73,13,11,13,9,14,13,13,11,13,9,14,13,13,11,13,9,14,13,421896576,383761440,357372800,308194784,510899168,422910688,145302032,113914976,109611584,139999328,122403792,132697752,
sp|Q5PRA2|DHTK1_DANRE,Q5PRA2,DHTK1_DANRE,dhtkd1,920,Danio rerio,2:Experimental evidence at transcript level,2-oxoadipate dehydrogenase complex component E1,1,0.999,15,52,52,52,7,9,11,6,9,10,7,9,11,6,9,10,7,9,11,6,9,10,112231600,233220816,314691104,164397088,211022496,299277920,47361124,68963688,98033376,73398168,75707208,94308720,
sp|Q5PRD0|143BA_DANRE,Q5PRD0,143BA_DANRE,ywhaba,244,Danio rerio,2:Experimental evidence at transcript level,14-3-3 protein beta/alpha-A,1,0.999,19,79,79,168,15,13,12,13,13,13,15,13,12,13,13,13,27,31,26,26,29,29,1788208000,1987186560,1611211390,1834099580,2010138240,1885142400,561970560,557011260,556946500,537113280,609209020,552510400,
sp|Q5PYH5|DLG1L_DANRE,Q5PYH5,DLG1L_DANRE,dlg1l,827,Danio rerio,2:Experimental evidence at transcript level,Discs large homolog 1-like protein,0.9149,0.9581,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q5PYH6|DLG1_DANRE,Q5PYH6,DLG1_DANRE,dlg1,873,Danio rerio,2:Experimental evidence at transcript level,Disks large homolog 1,0.92490000000000006,0.9923,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,73348032,0,0,0,0,0,0,0,0,0,0,0,
sp|Q5RGE6|HSP7E_DANRE,Q5RGE6,HSP7E_DANRE,hspa14,504,Danio rerio,2:Experimental evidence at transcript level,Heat shock 70 kDa protein 14,0.9916,0.9817,2,5,5,5,0,1,0,1,2,1,0,1,0,1,2,1,0,1,0,1,2,1,0,0,0,1909228160,13383459,0,0,0,0,1909228160,13383459,0,
sp|Q5RGJ5|C19L1_DANRE,Q5RGJ5,C19L1_DANRE,cwf19l1,544,Danio rerio,2:Experimental evidence at transcript level,CWF19-like protein 1,0.5375,0.9772,1,4,4,4,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q5RGU1|COQ8A_DANRE,Q5RGU1,COQ8A_DANRE,coq8a,619,Danio rerio,2:Experimental evidence at transcript level,"Atypical kinase COQ8A, mitochondrial",0.9388,0.9982,1,5,5,5,1,1,2,0,1,0,1,1,2,0,1,0,1,1,2,0,1,0,0,10556309,30058574,0,20594026,0,0,10556309,30058574,0,20594026,0,
sp|Q5RGV1|IMDH3_DANRE,Q5RGV1,IMDH3_DANRE,impdh1b,514,Danio rerio,2:Experimental evidence at transcript level,Inosine-5'-monophosphate dehydrogenase 1b,1,0.999,9,31,1,31,6,3,5,6,3,8,0,0,0,0,0,1,6,3,5,6,3,8,96279776,155039008,239176512,157667520,119510784,214073184,102343520,108605376,168894960,75038480,103730096,96442424,
sp|Q5RHR0|PARP1_DANRE,Q5RHR0,PARP1_DANRE,parp1,1013,Danio rerio,2:Experimental evidence at transcript level,Poly [ADP-ribose] polymerase 1,1,0.9985,5,6,6,6,0,0,0,2,0,4,0,0,0,2,0,4,0,0,0,2,0,4,0,0,0,0,0,86295944,0,0,0,0,0,0,
sp|Q5RHZ6|OSGEP_DANRE,Q5RHZ6,OSGEP_DANRE,osgep,335,Danio rerio,2:Experimental evidence at transcript level,tRNA N6-adenosine threonylcarbamoyltransferase,1,0.999,2,10,10,10,2,0,1,1,5,1,2,0,1,1,5,1,2,0,1,1,5,1,70810016,0,45074676,136456160,26486168,1011056.2,63886752,0,40667616,123114512,19321370,3852293.5,
sp|Q5RI43|KERA_DANRE,Q5RI43,KERA_DANRE,kera,348,Danio rerio,1:Experimental evidence at protein level,Keratocan,0.9962,0.9984,1,3,3,3,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,54690568,23343184,21378582,0,0,0,54690568,23343184,21378582,
sp|Q5RKN4|GLYR1_DANRE,Q5RKN4,GLYR1_DANRE,glyr1,462,Danio rerio,2:Experimental evidence at transcript level,Cytokine-like nuclear factor N-PAC,1,0.999,5,13,13,13,1,1,3,2,4,2,1,1,3,2,4,2,1,1,3,2,4,2,11618908,0,9386209,6230713,45940388,19334874,11618908,0,0,6230713,0,19334874,
sp|Q5RKQ0|SPF27_DANRE,Q5RKQ0,SPF27_DANRE,bcas2,225,Danio rerio,2:Experimental evidence at transcript level,Pre-mRNA-splicing factor SPF27,1,0.9989,1,7,7,7,0,2,3,0,1,1,0,2,3,0,1,1,0,2,3,0,1,1,0,0,4284354,0,1244914,0,0,0,2127156.8,0,1401971.1,0,
sp|Q5RZ65|AGR2_DANRE,Q5RZ65,AGR2_DANRE,agr2,171,Danio rerio,2:Experimental evidence at transcript level,Anterior gradient protein 2 homolog,0.9796,0.9768,1,3,3,3,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,16076976,0,0,0,0,0,0,0,0,
sp|Q5SNX7|GALC_DANRE,Q5SNX7,GALC_DANRE,galc,660,Danio rerio,2:Experimental evidence at transcript level,Galactocerebrosidase,0.9962,0.9963,2,4,4,4,0,1,1,0,2,0,0,1,1,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q5SP67|WDR26_DANRE,Q5SP67,WDR26_DANRE,wdr26,576,Danio rerio,1:Experimental evidence at protein level,WD repeat-containing protein 26,1,0.9989,3,5,5,5,1,1,0,3,0,0,1,1,0,3,0,0,1,1,0,3,0,0,10488644,0,0,6653284.5,0,0,10488644,0,0,5643550.5,0,0,
sp|Q5SP90|PP4R3_DANRE,Q5SP90,PP4R3_DANRE,smek1,818,Danio rerio,1:Experimental evidence at protein level,Serine/threonine-protein phosphatase 4 regulatory subunit 3,1,0.999,3,11,11,11,3,1,1,1,3,2,3,1,1,1,3,2,3,1,1,1,3,2,86161312,51912436,7040717.5,40971536,9740276,19539144,15999376,10835998,16365828,95236472,59489008,45417852,
sp|Q5TYQ3|COA7_DANRE,Q5TYQ3,COA7_DANRE,coa7,229,Danio rerio,2:Experimental evidence at transcript level,Cytochrome c oxidase assembly factor 7,0.8457,0.9951,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,163177472,0,0,0,0,0,0,0,
sp|Q5TYS5|SCRN2_DANRE,Q5TYS5,SCRN2_DANRE,scrn2,415,Danio rerio,2:Experimental evidence at transcript level,Secernin-2,0.9577,0.9988,1,2,2,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,3098026.8,0,0,0,0,0,0,0,
sp|Q5TYW4|NBAS_DANRE,Q5TYW4,NBAS_DANRE,nbas,2372,Danio rerio,2:Experimental evidence at transcript level,NBAS subunit of NRZ tethering complex,0.9567,0.9955,1,2,2,2,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q5TZ66|SN25A_DANRE,Q5TZ66,SN25A_DANRE,snap25a,204,Danio rerio,2:Experimental evidence at transcript level,Synaptosomal-associated protein 25-A,1,0.999,11,72,30,72,9,15,15,14,9,10,5,6,5,6,3,5,9,15,15,14,9,10,411308480,891971650,828930750,780601150,438626368,486017024,119867984,187833888,187384464,202460000,135287728,153942080,
sp|Q5U379|SNF5_DANRE,Q5U379,SNF5_DANRE,smarcb1a,373,Danio rerio,2:Experimental evidence at transcript level,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1-A,0.9592,0.9988,1,3,3,3,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,18553164,24446076,0,0,0,17361604,18553164,24446076,0,0,0,17361604,
sp|Q5U3A7|OPA1_DANRE,Q5U3A7,OPA1_DANRE,opa1,966,Danio rerio,2:Experimental evidence at transcript level,"Dynamin-like GTPase OPA1, mitochondrial",1,0.999,8,23,23,23,2,5,3,5,5,3,2,5,3,5,5,3,2,5,3,5,5,3,57407600,60678120,11691129,24545660,49315244,0,9782686,36942428,0,64582048,49666584,0,
sp|Q5U3U3|CPT2_DANRE,Q5U3U3,CPT2_DANRE,cpt2,669,Danio rerio,2:Experimental evidence at transcript level,"Carnitine O-palmitoyltransferase 2, mitochondrial",1,0.999,7,31,31,31,6,8,6,4,3,4,6,8,6,4,3,4,6,8,6,4,3,4,81774168,191643488,62528936,91934560,86327168,71741744,38748124,28548484,33140422,24087230,102764472,95055480,
sp|Q5U403|MVD1_DANRE,Q5U403,MVD1_DANRE,mvd,400,Danio rerio,2:Experimental evidence at transcript level,Diphosphomevalonate decarboxylase,0.5723,0.9801,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q5W8I7|VGL2B_DANRE,Q5W8I7,VGL2B_DANRE,slc17a6a,587,Danio rerio,2:Experimental evidence at transcript level,Vesicular glutamate transporter 2.2,0.9933,0.9888,2,5,1,5,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,76261672,93400256,0,55770884,48635808,85753904,76261672,93400256,0,55770884,48635808,85753904,
sp|Q5XIY6|VTC1B_DANRE,Q5XIY6,VTC1B_DANRE,atp6v1c1b,381,Danio rerio,2:Experimental evidence at transcript level,V-type proton ATPase subunit C 1-B,0.6232,0.9587,2,1,1,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,0,0,3250396.8,0,0,0,0,0,0,0,0,0,
sp|Q5XIZ6|GPD1L_DANRE,Q5XIZ6,GPD1L_DANRE,gpd1l,351,Danio rerio,2:Experimental evidence at transcript level,Glycerol-3-phosphate dehydrogenase 1-like protein,1,0.999,9,37,37,37,8,2,4,9,9,5,8,2,4,9,9,5,8,2,4,9,9,5,107148936,184362368,67499664,85059448,207906240,153498416,38070524,42707408,36719392,16595589,97241360,52304012,
sp|Q5XJ10|G3P_DANRE,Q5XJ10,G3P_DANRE,gapdh,333,Danio rerio,2:Experimental evidence at transcript level,Glyceraldehyde-3-phosphate dehydrogenase,1,0.999,20,241,200,241,44,38,41,28,47,43,38,31,34,20,40,37,44,38,41,28,47,43,4992027600,5812572200,5181543400,5035135500,6920715800,7215944200,1078646020,1276332800,1131041280,1275728640,1649356420,1509444610,
sp|Q5XJ36|PARK7_DANRE,Q5XJ36,PARK7_DANRE,park7,189,Danio rerio,2:Experimental evidence at transcript level,Parkinson disease protein 7 homolog,1,0.9569,3,3,3,3,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,8657395,0,0,8643998,0,0,0,0,0,0,0,
sp|Q5XJ54|GLRX3_DANRE,Q5XJ54,GLRX3_DANRE,glrx3,326,Danio rerio,2:Experimental evidence at transcript level,Glutaredoxin 3,1,0.999,3,8,8,8,0,1,3,1,2,1,0,1,3,1,2,1,0,1,3,1,2,1,0,23659078,4460256.5,27306698,4507724.5,6240377.5,0,13478149,4460256.5,59448560,4507724.5,4814978,
sp|Q5XJP1|EIPR1_DANRE,Q5XJP1,EIPR1_DANRE,eipr1,387,Danio rerio,2:Experimental evidence at transcript level,EARP-interacting protein homolog,0.9365,0.9982,1,4,4,4,0,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q5XTN8|CRGNA_DANRE,Q5XTN8,CRGNA_DANRE,crygna,183,Danio rerio,2:Experimental evidence at transcript level,Gamma-crystallin N-A,0.5104,0.9747,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
sp|Q642H3|SEP8A_DANRE,Q642H3,SEP8A_DANRE,sept8a,420,Danio rerio,2:Experimental evidence at transcript level,Septin-8-A,1,0.999,7,40,23,40,5,8,8,5,7,7,3,4,5,3,4,4,5,8,8,5,7,7,272012544,337419104,286664928,454056768,376952000,440039712,150778928,127247976,146223872,195794000,159464992,166041040,
sp|Q642H7|RIC8A_DANRE,Q642H7,RIC8A_DANRE,ric8a,548,Danio rerio,2:Experimental evidence at transcript level,Synembryn-A,1,0.9989,4,13,13,13,3,1,3,2,3,1,3,1,3,2,3,1,3,1,3,2,3,1,38525064,0,0,7920241.5,11046858,8905008,38525064,0,0,7920241.5,11046858,8905008,
